pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,fixed_cost_ada,margin,declared_pledge_met,f_unsplit_ada,pi_unsplit_ada,f_half_ada,pi_half_ada,pi_split_sum_ada,delta_pi_ada,split_increases_pi,split_decreases_pi,f_unsplit_c50_ada,pi_unsplit_c50_ada,f_half_c50_ada,pi_half_c50_ada,pi_split_sum_c50_ada,delta_pi_c50_ada,split_increases_pi_c50,split_decreases_pi_c50
pool17we8ycehylszd2n3haxut8gll239m9m9q5a8ytsc9pg9g3uuga6,HIPOO,524.777277,500.0,517.619542,345.0,0.15,True,0.15585613529736753,0.15585613529736753,0.07792806408856445,0.07792806408856445,0.1558561281771289,-7.120238620927921e-09,False,True,0.15585613529736753,0.15585613529736753,0.07792806408856445,0.07792806408856445,0.1558561281771289,-7.120238620927921e-09,False,True
pool17wph2uu643wykezxmm3ef3a8shg3hwyq2z0sgpu6r9sc7um83d9,BLKN,47332.21796,100.0,1529.740291,345.0,0.0,True,14.0574279112212,14.0574279112212,7.028712598575185,7.028712598575185,14.05742519715037,-2.7140708311890194e-06,False,True,14.0574279112212,14.0574279112212,7.028712598575185,7.028712598575185,14.05742519715037,-2.7140708311890194e-06,False,True
pool17wsk3ww9asev7kfk9ktfw2cxcq865jq2l796aue66xldwx6cy82,FUND3,342087.584942,100.0,336174.807284,170.0,0.0,True,101.59827228247175,101.59827228247175,50.7991263155431,50.7991263155431,101.5982526310862,-1.9651385557040157e-05,False,True,101.59827228247175,101.31138115331885,50.7991263155431,50.7991263155431,101.5982526310862,0.2868714777673489,True,False
pool17xextu09ghdfcmsq83whq0a45geg83jxe4qt94sevu087tzdzkl,ONYX,11944728.875218,250000.0,250392.546286,170.0,0.05,True,3550.893420963853,406.3733643302501,1774.6025549743235,282.18493371614954,564.3698674322991,157.99650310204896,True,False,3550.893420963853,327.31609409614236,1774.6025549743235,203.12766348204184,406.2553269640837,78.93923286794131,True,False
pool17xtz3a8ppy9prj4e2e5t5ggk6p68ls305x5pyyxdxc2lut0ltm2,ZLNDR,7.505346,0.0,7.426233,340.0,0.0,True,0.002229048714617163,0.002229048714617163,0.0011145243573085816,0.0011145243573085816,0.002229048714617163,0.0,False,False,0.002229048714617163,0.002229048714617163,0.0011145243573085816,0.0011145243573085816,0.002229048714617163,0.0,False,False
pool17y0uw9jraxxtqk4mhgkhkye2v6jqzn84u8hl68l9xwq3cvm2vqw,ADNT,380999.94774,100000.0,159014.546225,340.0,0.01,True,113.18735249436286,113.18735249436286,56.58558163507689,56.58558163507689,113.17116327015378,-0.01618922420907154,False,True,113.18735249436286,113.18735249436286,56.58558163507689,56.58558163507689,113.17116327015378,-0.01618922420907154,False,True
pool17y4pg5j8z8zklmplel2l3l705zx706w3mrac2etns0uccehx3nr,,1452.411459,1000.0,1035.664597,340.0,0.0,True,0.4313591669460289,0.4313591669460289,0.215679453482228,0.215679453482228,0.431358906964456,-2.599815728809851e-07,False,True,0.4313591669460289,0.4313591669460289,0.215679453482228,0.215679453482228,0.431358906964456,-2.599815728809851e-07,False,True
pool17ynruzy9lvq0x55ks22vtf4lrrdrw2ucydh4tfzhg9kkyeaw8nf,ASN,1291058.696501,1000.0,1643.116625,340.0,0.0,True,383.4391985973146,340.0552846044764,191.71922864364302,191.71922864364302,383.43845728728604,43.38317268280963,True,False,383.4391985973146,170.27164179025507,191.71922864364302,170.02764183050954,340.0552836610191,169.783641870764,True,False
pool17ywx7vha7t8snj3xzwm9863lvnpke0ufqjtx94mh49sf28srg9m,LAND,4109.515103,100.0,1.000009,345.0,0.15,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False
pool17z4hzv0544uxx8q7yhedvsrtdavtz46nzwqyp2rgtku4x6d0zcn,ECOST,197.237368,50.0,197.237368,170.0,1.0,True,0.05857848060762204,0.05857848060762204,0.02928923818866374,0.02928923818866374,0.05857847637732748,-4.230294559093295e-09,False,True,0.05857848060762204,0.05857848060762204,0.02928923818866374,0.02928923818866374,0.05857847637732748,-4.230294559093295e-09,False,True
pool180fejev4xgwe2y53ky0pxvgxr3wcvkweu6feq5mdljfzcsmtg6u,CHIEN,1015400.334086,50000.0,55367.37366,170.0,0.0,True,301.62412811671777,177.1771517493836,150.79818144854445,150.79818144854445,301.5963628970889,124.41921114770531,True,False,301.62412811671777,96.81200029445154,150.79818144854445,88.5878188888812,177.1756377777624,80.36363748331087,True,False
pool18243r3ncukrk54jrx3mnr2k6lvu30dy7y6uj252cyldhqze7qe3,,391.08766,340.0,391.08766,340.0,0.05,True,0.11615102030650823,0.11615102030650823,0.05807550516246984,0.05807550516246984,0.11615101032493969,-9.9815685439264e-09,False,True,0.11615102030650823,0.11615102030650823,0.05807550516246984,0.05807550516246984,0.11615101032493969,-9.9815685439264e-09,False,True
pool183usq53j55v86q3eguw37xaqy67au9n5terk474sevuu6jy7266,,1002.944665,300000.0,0.0,340.0,0.03,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False
pool1850xvydng5mkjzkwqw6566y7e6hsrgakc3y87jrnqrkrwdjua2p,BITA,14055410.005692,10.0,17.455182,340.0,1.0,True,4174.383808414597,4174.383808414597,2087.1918638246043,2087.1918638246043,4174.383727649209,-8.076538870227523e-05,False,True,4174.383808414597,4174.383808414597,2087.1918638246043,2087.1918638246043,4174.383727649209,-8.076538870227523e-05,False,True
pool1853ffwhtuka742fq4av7s3ssdpvzhdkpw53th3es36zkwrllj9g,ATLAS,6261261.916379,125000.0,140658.616868,340.0,0.0,True,1860.4451717499114,374.15664729222067,930.0016652254725,353.254327847768,706.508655695536,332.3520084033154,True,False,1860.4451717499114,207.9756801304746,930.0016652254725,187.07336068602197,374.14672137204394,166.17104124156936,True,False
pool1856hr68ypjteu686stdagfpv2sxjzguwzjxu946v8wdqzn0f67s,,101.080977,0.0,0.0,340.0,0.01,True,0.03002052428416985,0.03002052428416985,0.015010262142084925,0.015010262142084925,0.03002052428416985,0.0,False,False,0.03002052428416985,0.03002052428416985,0.015010262142084925,0.015010262142084925,0.03002052428416985,0.0,False,False
pool1859zslu3scj23wxcamw0slkhn80waxwkdl4k8k0asyw7sfa8dv5,UPBIT,31596954.914928,200000.0,31180711.307309,340.0,1.0,True,9391.366506548266,9391.366506548266,4693.872090513489,4693.872090513489,9387.744181026977,-3.622325521288076,False,True,9391.366506548266,9391.366506548266,4693.872090513489,4693.872090513489,9387.744181026977,-3.622325521288076,False,True
pool185ev4czpm5hc9xud25xlcz5lhpnl2jztqas6mgxujqke7j5mdzc,ALDIA,2178908.798827,1000.0,1295.377136,340.0,0.0,True,647.1270802199124,340.1825892840386,323.5629143610548,323.5629143610548,647.1258287221096,306.94323943807103,True,False,647.1270802199124,170.2836555210645,323.5629143610548,170.09129427000704,340.1825885400141,169.89893301894958,True,False
pool186wnrzw2zq20wt6p9aer6z33vqgv4xaxm6445fa4g4wr559e0j8,INF1,251.000039,250.0,251.000039,340.0,0.001,True,0.07454570601541947,0.07454570601541947,0.03727285293579202,0.03727285293579202,0.07454570587158404,-1.4383542967788543e-10,False,True,0.07454570601541947,0.07454570601541947,0.03727285293579202,0.03727285293579202,0.07454570587158404,-1.4383542967788543e-10,False,True
