pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,fixed_cost_ada,margin,f_ada_k1000,desirability,role,free_space_ada,rank,received_ada,sigma_after_ada
pool1nudasuv0lljpe0tswcverqvlh0v4226vgnpsuxn0e9nkvnvcvne,STI,35652102.293699,50000.0,55582.458871,340.0,0.015,10592.585730050554,0.00028325950769766007,receiver,4347897.706301004,33.0,4347897.706301004,40000000.0
pool1xlfty06hg6q23qvcaxwv3p9ke7ff9n34qpr8tpxt2zflyq20ceh,SAKE,29895984.870515,25000.0,104410.890092,340.0,0.009,8880.669528833583,0.0002831083685562582,receiver,10104015.129485,34.0,10104015.129485,40000000.0
pool1vxvdypctdecvc2j7xu9y8h2fdxvkpjy2pp8luwg2h6dx5jlv0nk,COOL,20650675.558052,50000.0,53089.159843,170.0,0.02,6135.513783414039,0.0002830998671840659,receiver,19349324.441948,35.0,19349324.441948,40000000.0
pool1vtpn0drn5t39frknedmqq2jkhsfstwketsnvdm7cjzz674s30v2,BLISS,21931481.73976,2650000.0,2931065.20405,340.0,0.015,6640.111443137974,0.00028295442346882725,receiver,18068518.26024,36.0,18068518.26024,40000000.0
pool1fs2m5rmlx66crcwwrrsf2pcxjhvk7kzdurcqusd3v5gm65cufnj,BIRD,23591196.265875,125000.0,134211.175897,340.0,0.0,7013.226504225846,0.0002828693563911705,receiver,16408803.734125,37.0,16408803.734125,40000000.0
pool10efuydxjnasr0309lqklmj9xahupdnzqd59r5dqjeh4twz06tr0,F4ADA,11480352.787575,300000.0,300050.979323,170.0,0.0,3417.3756825133883,0.00028286375363202864,receiver,28519647.212425,38.0,28519647.212425,40000000.0
pool10ya6hxrssmyhl560gqyalhqxudkgfjdlc0e4krww6wweyaeajs8,NKR,29702642.180265,40000.0,47007.359428,340.0,0.01,8824.260181708196,0.00028278351565208054,receiver,10297357.819735002,39.0,10297357.819735002,40000000.0
pool1zn9hjcmfddhcp2aj9xxuvz7z40rasyatkgavr8ryyz72qdfwtrj,PLUSH,28347488.724606,250000.0,266594.867229,340.0,0.01,8435.307149034483,0.0002827183090327,receiver,11652511.275394,40.0,11652511.275394,40000000.0
pool1xkwnlr34tjrnkz6u4c0p36cju3xuls4dyynsdkf6cv22ksuhz6q,EMUR2,16905917.015122,500.0,1253.492626,170.0,0.015,5020.988827298609,0.0002826361912586644,receiver,23094082.984878,41.0,23094082.984878,40000000.0
pool1lfnlxfxxwvjadesxzm4c7grgs3elj70vfdnpjwjmg0ufsqnq52t,HISAI,25398188.857881,100.0,493.459874,340.0,0.0035,7543.135791669207,0.0002826156170647999,receiver,14601811.142119002,42.0,14601811.142119002,40000000.0
pool1m4njkh73pdj90xxkgaz9dnh7gffweeupft8nfurlntg6cgqfmy8,Pier2,14472738.546756,100.0,6247.377549,170.0,0.01,4298.331378907733,0.00028239631718039634,receiver,25527261.453244,43.0,25527261.453244,40000000.0
pool1a4qtpgce7cu6wzc79fx7qrc3938hkl2gf8c2h5jugvm2gnu86l7,,20728203.293906,8440000.0,8623282.294236,500.0,0.0215,6482.101050071776,0.00028239234218704,receiver,19271796.706094,44.0,19271796.706094,40000000.0
pool13846y7q7tng3endxhet9qdcz5w0fjs09ytcye4dm5g54wmyqeqr,BSP,20960752.599167,40000.0,446732.118753,170.0,0.023,6227.159902743348,0.00028232980647915435,receiver,19039247.400833,45.0,19039247.400833,40000000.0
pool1pfprlfz0ywcnewjegazz05ghgcfkvu40v6edsz6yn8w362sdjr8,ADI,26921278.34829,80000.0,88186.090379,340.0,0.008,8000.425370362647,0.00028227270150722365,receiver,13078721.65171,46.0,13078721.65171,40000000.0
pool19f6guwy97mmnxg9dz65rxyj8hq07qxud886hamyu4fgfz7dj9gl,BERRY,32183455.492377,45000.0,150172.168637,340.0,0.015,9561.646849097839,0.00028223576391642766,receiver,7816544.507622998,47.0,7816544.507622998,40000000.0
pool1tpy5yawzpetcverves0h6xdycxgrstehfvrkygydt9jcqxwpw3j,MANA,15841129.141765,100000.0,104861.467281,170.0,0.0149,4708.360410334277,0.00028222349557350884,receiver,24158870.858235,48.0,24158870.858235,40000000.0
pool1vquhv3kh6xkklckaenl8alyuhfsld57ef5573aqauueyqacx4ak,KIWI,33194605.707684,400369.0,401158.716635,340.0,0.02,9889.119359083445,0.0002819174011075999,receiver,6805394.292316001,49.0,6805394.292316001,40000000.0
pool1c7jrfce3zxkk9s9enzpvwj8fuayvx3pdzc2k2es6mrw6gsfcjep,EDEN,27447420.713771,1000.0,1092.096695,340.0,0.01,8151.804240643207,0.0002817636775012745,receiver,12552579.286229,50.0,12552579.286229,40000000.0
pool15zrkyr0f80hxlt4scv72tej8l8zwrcphmrega9wutqchjekceal,ZETE,39660795.374542,10000.0,14232.906107,340.0,0.0,11513.584707897442,0.000281728709734089,receiver,339204.6254580021,51.0,339204.6254580021,40000000.0
pool1ukeqarukv9gxwy9pt8jkr4qvad2yf87758g3xzemmvmtk8lrynp,CRDN1,33906911.04602,100000.0,101745.898289,340.0,0.02,10077.966754559606,0.0002814531647107558,receiver,6093088.953979999,52.0,6093088.953979999,40000000.0
pool1rvjj8cp3urh7de07pm0ceqha2x4lxws69lhd4429dm6djfjsy4l,DINO,26153919.628981,10000.0,11699.892626,340.0,0.01,7768.1791307643925,0.00028117763776057256,receiver,13846080.371018998,53.0,13846080.371018998,40000000.0
pool1wr79nyuty7wjgkey5vlfx9rn0x5ecxgge5mq45fpftqhye2shc0,BTV4,15634105.709602,2.0,9.820727,170.0,0.02,4643.2481294777235,0.0002803987160068759,receiver,24365894.290398,54.0,24365894.290398,40000000.0
pool1yj9xduuwzvdkcwm2mc9x893zq684x7pyah4ja8zmzplgvxz6wgk,SPIR2,19646763.764087,250000.0,253666.136809,340.0,0.0,5846.2052331457135,0.0002802601639263713,receiver,20353236.235913,55.0,20353236.235913,40000000.0
pool1qqvukkkfr3ux4qylfkrky23f6trl2l6xjluv36z90ax7gfa8yxt,STAKE,23070236.932187,50000.0,50039.540087,340.0,0.008,6854.389348642555,0.0002801130414416081,receiver,16929763.067813,56.0,16929763.067813,40000000.0
pool195gdnmj6smzuakm4etxsxw3fgh8asqc4awtcskpyfnkpcvh2v8t,SUNNY,30238080.275151,1000.0,581645.513467,340.0,0.02,8980.622026120936,0.00028003793589228545,receiver,9761919.724849,57.0,9761919.724849,40000000.0
pool149d5lzg7m6susau4f4yfdztgkty34qrcdpvd3ygsetmljgxxf8g,TERA3,20024820.441262,300.0,736.501699,340.0,0.0,5947.2812976726955,0.0002800165581569287,receiver,19975179.558738,58.0,19975179.558738,40000000.0
pool1qakys0fxx5p2fxcnsc2tyjpqa88q7qgtdh5t3a32hplv6fg25r9,DAPP,34290331.60055,1000.0,1062.35835,340.0,0.025,10184.128901769918,0.0002799047204043871,receiver,5709668.399449997,59.0,5709668.399449997,40000000.0
pool14n77mmxh6a2d9k05jamzdwsws2ayvkyje8uc7led958p63at3aj,SECUR,9379905.555624,200000.0,208392.402112,170.0,0.0,2790.0253751669748,0.00027932321489058715,receiver,30620094.444376,60.0,30620094.444376,40000000.0
pool1vdh6kxcqt9mxavyv80ggnec6jjwms44ms30rhle3lt266aj8jgh,NEDS4,26653132.918811,250000.0,255160.284115,340.0,0.02,7931.112397115854,0.000279115035813411,receiver,13346867.081189,61.0,13346867.081189,40000000.0
pool1f8erepj5w5nth5xfxgxnwpz59jzywt6zdwfr50jzjwfwksmg9ek,NUFIE,36654309.567607,1000.0,1008.52285,340.0,0.03,10886.223492844096,0.0002790896052533839,receiver,3345690.4323929995,62.0,3345690.4323929995,40000000.0
pool17taqml487n9t4r9a6ppvf9qv0qlw2lu4zcrzwfdsfcv6xp7uqym,PSB,17593835.336317,50000.0,52290.700816,240.0,0.0169,5227.296382647083,0.00027867778571620517,receiver,22406164.663683,63.0,22406164.663683,40000000.0
pool13crd2ljx87988umk22er6ynwadfwdqupdpcq6prc6v59z62kxse,BLOOM,37232766.498327,1000000.0,1000001.0,340.0,0.04,11143.426168347709,0.00027855273988517125,receiver,2767233.501672998,64.0,2767233.501672998,40000000.0
pool1lnr8t7pxvq3vfg8c5lc7yjcq39haws4ntu28xpxzx4zyya9ntny,KKS,34802274.695681,0.0,0.0,345.0,0.03,10336.094521979554,0.0002784692026904459,receiver,5197725.304319002,65.0,5197725.304319002,40000000.0
pool14zdcvdec8qmqzsat5wg3a2h9f0u5yzrgjew534z8u3gs5durnjz,PAUL,33030614.608485,100000.0,100249.532747,340.0,0.03,9817.50933647787,0.00027832313038528696,receiver,6969385.391515002,66.0,6969385.391515002,40000000.0
pool1ewrm7y47s9hv6hxku9n5gfnsuspymp0qqpwgvgm9rvm37cek2h6,A4G,33421371.005047,25000.0,44986.748268,340.0,0.03,9927.893576554998,0.0002782727485312887,receiver,6578628.994952999,67.0,6578628.994952999,40000000.0
pool15txd36fltfgc63qq0yxtpqt88eu76s0yhugn9a6q7f4zspq6k5f,ARM1,12742922.932891,100000.0,953711.66263,170.0,0.0199,3787.495329428487,0.0002782334312971072,receiver,27257077.067109,68.0,27257077.067109,40000000.0
pool1c3ecg6h4m73a2mftmdm9mz3gxklxmnzuwzl9e38lzd4y26qcm8a,COSMC,27602401.293508,300000.0,570311.265219,340.0,0.025,8216.743141352435,0.0002782303061663296,receiver,12397598.706492,69.0,12397598.706492,40000000.0
pool1lp9wmr8dkcceta5we999nvlfh9um06cd6sggtt5523eawf7mtg4,YYG,10551782.199983,1000.0,12776.855117,170.0,0.01,3133.8486680525975,0.00027807721252783236,receiver,29448217.800017,70.0,29448217.800017,40000000.0
pool19lz8nyz0jjpdrdtnjaar4untk4th23gpg5s7aegn7480zff4vgq,MS5,28279057.385084,100000.0,102307.252065,340.0,0.025,8405.22660512737,0.0002780713597669948,receiver,11720942.614916,71.0,11720942.614916,40000000.0
pool1r55hyfrd3tw6nzpkvf4rfceh2f04yph92fc462phnd0akp2s5r6,COFFE,28675173.76811,101.0,1220.575569,340.0,0.025,8516.384080257014,0.00027800963100409583,receiver,11324826.23189,72.0,11324826.23189,40000000.0
pool1lfy5rdaps2m3n5ere4l55rw6q8jn4nwt3jf9yksj8q9h27kng2t,FENIX,12455201.65021,130358.0,133579.691837,170.0,0.02,3702.835485583786,0.0002779705116868771,receiver,27544798.34979,73.0,27544798.34979,40000000.0
pool1lu0gwsvugl2cgx6gzk9zqdjwutd5szp293wpvwj4fvq4jleg8ww,WBFL,20893353.15236,399.0,18417.121586,339.0,0.01,6205.23634734326,0.000277962754064387,receiver,19106646.84764,74.0,19106646.84764,40000000.0
pool1mh4ng2ldxk4sqfppzu6r4knxrk6e87e9c4wgrred84uy7xauzlh,CCV2,32248857.032261,500.0,503.118476,340.0,0.03,9577.779822065484,0.00027785934919924443,receiver,7751142.967739001,75.0,7751142.967739001,40000000.0
pool12vs4c3cm0tr49c7alrevfs0xa5g3s4al4fn46h33e69uusat04v,BLOOM,34510916.686131,1000000.0,1000001.0,340.0,0.04,10328.633408847161,0.00027785666082717726,receiver,5489083.3138689995,76.0,5489083.3138689995,40000000.0
pool1j099ctc7kcc9fa78dz5qwsy2g0n96lrgletwxvxmyzh4zd7ck0j,PRIDE,25079668.566039,10000.0,28802.707293,340.0,0.0199,7449.1074560921315,0.00027782010752530227,receiver,14920331.433961,77.0,14920331.433961,40000000.0
pool1urgvu6zk422j4xwtxa45lzpd6dm25msfthpkezr042secrtuwzc,CCV1,31523312.763338,500.0,503.143007,340.0,0.03,9362.296115081044,0.00027762396983247465,receiver,8476687.236662,78.0,8476687.236662,40000000.0
pool1lskcfz80qg2kr2p6776kl9emjn8ulkqsqse7um7skz4y2lwa0cu,CERO,17358178.979861,10000.0,14597.914144,340.0,0.0,5155.687697698784,0.0002774304668298418,receiver,22641821.020139,79.0,22641821.020139,40000000.0
pool14fjmlppz76667ws3jl5luejf2wgztuhpsftulvh3ucc65anqgve,XSP2,37102176.017223,20000.0,56495.274835,340.0,0.037,11020.858786705798,0.0002772254383900025,receiver,2897823.9827769995,80.0,2897823.9827769995,40000000.0
pool1kx0jm9ycs3t99tnwafw6w72jkdlzhj5ltxe2nrzkd9x2u5x343h,EMUR6,10880200.917663,500.0,1191.095594,170.0,0.015,3231.375570696498,0.00027715066660586555,receiver,29119799.082337,81.0,29119799.082337,40000000.0
pool1jq7r3evstu2c040vlry8tgvpwf0mfvft86cxecwjpwcuvvqfu2r,CCV3,29819532.779897,500.0,503.091338,340.0,0.03,8856.280366017605,0.0002770262034623874,receiver,10180467.220103,82.0,10180467.220103,40000000.0
pool13pclvkwxee4znt7qc55k8ny89zvdkvfrt04dtd99zjm5vs2tws5,CCJ2,26155186.999046,100000.0,100498.518417,170.0,0.048,7773.9587220308795,0.000276769908150052,receiver,13844813.000953998,83.0,13844813.000953998,40000000.0
pool1cn0dqtplwf67fds40hgkf0u5rm4q4azev5qutmgkw5hdyvue2ue,NEDS2,22203754.969848,250000.0,260470.162746,340.0,0.02,6607.097096730336,0.0002766088512117,receiver,17796245.030152,84.0,17796245.030152,40000000.0
pool16rahfu936wdfq34wf6t8rqxvdjxayra5f7y80xq0udnqglrqel9,4KOMA,8228495.097189,5000.0,38216.750516,170.0,0.0,2443.9147543864324,0.0002763463704515352,receiver,31771504.902811,85.0,31771504.902811,40000000.0
pool1yvf4nxph69ztm0tgj73ummxq45kfjhecyad26e3xc2002xgzalg,CCV4,27998203.612105,500.0,503.122459,340.0,0.03,8315.352985670039,0.00027630674107803274,receiver,12001796.387895,86.0,12001796.387895,40000000.0
pool1m4enp55hp80tf6xl7k6f6593wnyu3pr83xfvef9x3ktdw9m0em5,AZUR2,20897786.681342,500000.0,2964503.266355,340.0,0.02,6230.285722165672,0.00027622446796608157,receiver,19102213.318658,87.0,19102213.318658,40000000.0
pool1qzlwlpcsgflr9z3f24fg836tyq45p0kf5cnrp20s8v0psp6tdkx,BCSH0,22156604.205706,10000.0,10056.630021,340.0,0.02,6580.905345058608,0.00027603901669112077,receiver,17843395.794294,88.0,17843395.794294,40000000.0
pool1qnrqc7zpwye2r9wtkayh2dryvfqs7unp99f2039duljrsaffq5c,NUFI,27265033.330967,1000.0,1002.829501,340.0,0.03,8097.63571761493,0.00027599110387075397,receiver,12734966.669032998,89.0,12734966.669032998,40000000.0
pool1jeu74g86ys4fekhykqcww99kdsq3nlym8a6kfw8s8ff3vskad70,KAIZN,24279349.498271,5000.0,6020.435538,340.0,0.025,7211.1194923500225,0.00027592755339340334,receiver,15720650.501729,90.0,15720650.501729,40000000.0
pool1hntu7agmt8u5j9c20ejen7dvq0jfkvkpnul3mrdd8tppqvwfvt2,BLOOM,28547821.271305,1000000.0,1000001.0,340.0,0.04,8543.565420730974,0.000275867735371377,receiver,11452178.728695001,91.0,11452178.728695001,40000000.0
pool1uthdnav2zc2hxpg2hyeyy545lnxtl8lqdcdqxjm0j8t5srmyvzj,ADAST,38225422.578837,1000000.0,1142213.705034,345.0,0.05,11440.580325586528,0.0002757536895129834,receiver,1774577.4211630002,92.0,1774577.4211630002,40000000.0
pool1lvsa8e0dw6z8g2fkw7prnfa7627wuy5jjexaadck6w5sxw5xkvm,DIGI2,32958941.749797,215000.0,215033.046198,340.0,0.04,9804.905789194747,0.0002756857191169653,receiver,7041058.2502029985,93.0,7041058.2502029985,40000000.0
pool1hht4pctn70tqdsd0zwuxv8d8cz6l5scjzaquty7vamyzy78eqvc,ACL,16793849.264494,750000.0,776350.261547,340.0,0.01,5015.903416997763,0.000275645226411246,receiver,23206150.735506,94.0,23206150.735506,40000000.0
pool18rhzlrv83a7ygj7cp5uv8dx07qkn5drhe8nh6f3qvhv66xcyj2m,SIPO2,32495175.930415,50000.0,52325.493353,340.0,0.039,9654.63174878322,0.00027546738413569666,receiver,7504824.069584999,95.0,7504824.069584999,40000000.0
pool138m7hevnvp664cmtralju857t5k7e4frpnaevtgpuykggr50kne,ITC,32928515.843938,10000.0,100005.261958,340.0,0.0399,9780.354714389015,0.0002752533580390165,receiver,7071484.1560619995,96.0,7071484.1560619995,40000000.0
pool1qzlw7z5mutmd39ldyjnp8n650weqe55z5p8dl3fagac3ge0nx8l,BCSH,20927694.218715,10000.0,10065.132958,340.0,0.02,6215.897218841976,0.0002751559352064497,receiver,19072305.781285,97.0,19072305.781285,40000000.0
