pool_id,sigma_ada,s_k500,s_k1000,excess_k500_ada,excess_k1000_ada,oversaturated_k500,oversaturated_k1000
pool10qmnswfc22zm0fscg80gkwqz65ujwjkqmctv8g9l9l58wqtelgg,2697137.476281,0.034789242966982645,0.06957848593396529,0.0,0.0,False,False
pool10qrz84cvz95zg8saf43ruhs5ulczuuqm2d3jn6d8xkkkzgzfje7,112074.806511,0.0014456058352520303,0.0028912116705040606,0.0,0.0,False,False
pool10quq4wlghwrvmhdzc7geq22pyhzegccwj56ax2g8hx0cjfahufs,24708911.64549,0.31870986860852957,0.6374197372170591,0.0,0.0,False,False
pool10rdglgh4pzvkf936p2m669qzarr9dusrhmmz9nultm3uvq4eh5k,74073232.951482,0.9554395062028103,1.9108790124056205,0.0,35309275.38504736,False,True
pool10retvgthe4vymhaq8vr2734zladmeeuwy07rq8r5f690ydmz3vc,971.580862,1.2532013279795806e-05,2.5064026559591612e-05,0.0,0.0,False,False
pool10s8x49tu6wcne63rqv6gmnhwpcg4kg8r4s3ncv6q7uxx76jvlwg,5097.623546,6.575210409390689e-05,0.00013150420818781378,0.0,0.0,False,False
pool10scv5quxduhrcc26wpurhk743dngspe8dc3zpkkam0svyx6ejx3,8648242.326177,0.11155004376624118,0.22310008753248237,0.0,0.0,False,False
pool10tcg3efecc706w98qs7j5jw84nxkcycseksp4mw64pjty26wr7f,0.0,0.0,0.0,0.0,0.0,False,False
pool10tqeu6d03p6rnalqlvdshmpsljxaq2c0ww6draq6xm8lgyl2a3p,8631852.650929,0.11133864023217335,0.2226772804643467,0.0,0.0,False,False
pool10u90lv7ayyfdulnt004h2wg42yff22c8vjlnqjxv7pytypuaykv,6192.921948,7.987989793594238e-05,0.00015975979587188477,0.0,0.0,False,False
pool10usr6ag036ujwhmm85km8w0skjn3fp3dwnktt8sje4lfvwhu40u,2136.948271,2.756359780006524e-05,5.512719560013048e-05,0.0,0.0,False,False
pool10v6uh7yan2dg8utwpgurj6th3u3s3q3m2lcg8z9mxtncvx72dhc,1.0,1.2898579799110746e-08,2.5797159598221493e-08,0.0,0.0,False,False
pool10vgnav004xgw03qkqfy6864zq53lzjkcf0syeu4g3uj8xaytlm8,1475.994327,1.9038230609844263e-05,3.8076461219688526e-05,0.0,0.0,False,False
pool10w8gmhnprfmhdlp6npjt8d3ts64ng4qxsu0mr33dhpxpzwn4rgt,2.91521,3.760206881616564e-08,7.520413763233128e-08,0.0,0.0,False,False
pool10wcmpvjmmv7ph7cz2263f52yckvnnwu5kdppwqgu74s2qhe7l7m,1216672.604799,0.015693348682391837,0.031386697364783674,0.0,0.0,False,False
pool10wugf8sxugp74y0dafvc83jmcg2z9v7u5yfs79zy67rxc5lqhd6,4678.355731,6.034414472493059e-05,0.00012068828944986118,0.0,0.0,False,False
pool10ww24pk8znf747x6d0wcueajegrjwzpv8x9a4aar4t05s7uzf76,2452.995576,3.164015918390163e-05,6.328031836780326e-05,0.0,0.0,False,False
pool10x7rsal3ldumkycuc7f7rslx3vc5axhz5jzwngfcg7hd6t2p7sc,66639.295215,0.0008595522670871766,0.0017191045341743531,0.0,0.0,False,False
pool10xk8jp4m2cztf69x9gvg3j33x5drkrz2hulsjes29wktcfcxdls,14276240.864801,0.18414323202596153,0.36828646405192306,0.0,0.0,False,False
pool10xmmn972gyza7nj8q4cyy0vrpn6kqzmdz2ut7ynnc8d0ycxlvw3,344298.643126,0.0044409635230862644,0.008881927046172529,0.0,0.0,False,False
pool10ya6hxrssmyhl560gqyalhqxudkgfjdlc0e4krww6wweyaeajs8,29702642.180265,0.3831219004065809,0.7662438008131618,0.0,0.0,False,False
pool10zyf32q3w3n9x940j6yqgkwuegzn77p94wcmpku6gvmrqw8a97d,25947752.278328,0.33468915336957145,0.6693783067391429,0.0,0.0,False,False
pool120s8wucgh9dnshf3xkvffq30lcf4kta9uzf35s44eulezc8puwj,9.802291,1.264356326776051e-07,2.528712653552102e-07,0.0,0.0,False,False
pool122gfj3ynz5ch8cfkx0tt5dsfpnf36sujcvrvxzqjm28yym8vv8x,67.456466,8.70092609667001e-07,1.740185219334002e-06,0.0,0.0,False,False
pool122gklgk6gep3dm5grag0kavzzxcwk4kxxrqegfygghjpgch6pns,26415.60343,0.00034072376878351853,0.0006814475375670371,0.0,0.0,False,False
pool122pmneflla304ptc7s5ws948u28zaek08k6hk3fmw8rgkzmgect,3262.347727,4.207965248915706e-05,8.415930497831412e-05,0.0,0.0,False,False
pool1233gq8vt6nzytuw60sr9gy2jmehc88fpglrjrzsd8kys5gqelgg,4079.358398,5.2617929825775574e-05,0.00010523585965155115,0.0,0.0,False,False
pool123gn9my6u32zea8l3uk889rjj2qf2tfagcz67q4v4r9ccjjtge7,3543.776436,4.570968314995428e-05,9.141936629990856e-05,0.0,0.0,False,False
pool124hy9qgc0nhqsve268kj5r53pvz7ppg295q6r2d0sjxswchljf0,32121961.703908,0.41432768634183675,0.8286553726836735,0.0,0.0,False,False
pool124lm97s6f4satl7xz0ulzgg6tv30tskry3zcntwrz68n60v5yne,11058.880161,0.0001426438482454612,0.0002852876964909224,0.0,0.0,False,False
pool12582dmkl7xanxlmfnwd4fepmx4tt5kkw327mmklcjdxngwaxvh2,1001983.096233,0.012924158924121415,0.02584831784824283,0.0,0.0,False,False
pool12584mjtgz3fhgpx823qht56gycnfnezg6aqqthazv4qdxkd5c46,713579.760243,0.00920416548052465,0.0184083309610493,0.0,0.0,False,False
pool1258yqnsegc3k7raqcdkxu4893aqexxljflmg9g96yfha2qytayv,560337.048234,0.007227552131044417,0.014455104262088833,0.0,0.0,False,False
pool125kh7e0y9lwya4sz5etmsk7hvga9jtfpuhw00vz9zvk6sh8xh5r,7757931.71301,0.10006630127631141,0.20013260255262283,0.0,0.0,False,False
pool1263z8symvqmmsg876y2lzluv29am2v9fpzka9sf3nrhz7uwlzap,297273.492819,0.0038344058692862466,0.007668811738572493,0.0,0.0,False,False
pool126f65lklaqw39jgx9wl8klqtx99evewxk0x5yc2jzzp5wfs8fde,536845.683641,0.006924546890251601,0.013849093780503202,0.0,0.0,False,False
pool126kcx3ve6xedpdk8gm9gtgs5x2h77tuwe5hjjcrp2nshu2xv8l3,2939.165647,3.7911062640634464e-05,7.582212528126893e-05,0.0,0.0,False,False
pool126mkma8nv5axltmz7mmg8qz9e70nmhnf58hwx5772fhwgkhk6ag,18131001.028506,0.23386416360394366,0.4677283272078873,0.0,0.0,False,False
pool126ugnr0nxjxz72jrlzrqetqx0exn43t5w67u9vuq23xex4ym7dv,109.61171,1.4138353883519856e-06,2.827670776703971e-06,0.0,0.0,False,False
pool126ut5j5qz5wg09sjxrjugmjhqyslgam9cyj7a275y99l6n3gql0,5516.81282,7.115905039552719e-05,0.00014231810079105438,0.0,0.0,False,False
pool127cp6le6v4hs453tkwnjd6ua9fcmmh7y5zc44zx752yzklgcrcq,1442.48367,1.8605990726409134e-05,3.721198145281827e-05,0.0,0.0,False,False
pool127gdv243hfcrapslaqq0nnh64u2gts72gtrt4888g6g2z0zsu64,1165746.560976,0.01503647504228786,0.03007295008457572,0.0,0.0,False,False
pool127jufnlxk4n6he84qjf8ppzmxs9sjnqlhulnuzsk0uc0whtl9sn,31110.339119,0.00040127919170381823,0.0008025583834076365,0.0,0.0,False,False
pool127xwsah7jllutuhen8vl7sve5278h7hhxtnys3cl438dyhuwgjg,2380628.940652,0.030706732363072302,0.061413464726144604,0.0,0.0,False,False
pool127xz8pls3lr6nct6w274ph2g4u83vqajgykf3l9ll772gvmju8z,2162.16716,2.7888885652276653e-05,5.5777771304553306e-05,0.0,0.0,False,False
pool128r8qqgl9zgy3ff4759a2qslyauu5takaec3nxx4a6mvj3ys8da,1491555.53618,0.019238948108223148,0.038477896216446296,0.0,0.0,False,False
pool128sj7hpet8874ycvxml85wlv9eyd8pehjhnj3clcvhrr5g5s9qj,25021.3693,0.0003227401285990698,0.0006454802571981396,0.0,0.0,False,False
pool12a4mx8ztxg7dwatm6lmfm36q7eyygkt3y3h29tklvcp6vyxp0nt,14785.014207,0.0001907056855799756,0.0003814113711599512,0.0,0.0,False,False
pool12ahcpgfgzkm29zajw8fgfqjma6ngsks7zdk4tr7q280pwfvtlek,32128043.520627,0.4144061331401103,0.8288122662802206,0.0,0.0,False,False
pool12ame5t8hdltyl30npznvhn23kxnvthk82j9p7dr4uew3y92uqes,81651.547632,0.0010531890028522442,0.0021063780057044884,0.0,0.0,False,False
pool12cc8t9yr58xureweksj73v87xkm6svcs8j3xnt93zd5zw5q6ugr,0.0,0.0,0.0,0.0,0.0,False,False
pool12cmz6vtm43tztqck4xnayhpmeml4ljxutvuexhwgsvrpwllnscv,7598.555142,9.80105698570303e-05,0.0001960211397140606,0.0,0.0,False,False
pool12d3th585ga2w593eu5zqnkahsnlczjpqxemjc0qhku7awnhvn8a,171544.280445,0.002212677590400866,0.004425355180801732,0.0,0.0,False,False
pool12dcwy586prq83qggtfvaxwdpys9dw4sl2yahrdjyjxsqzcq84rk,1863101.150722,0.02403135886640278,0.04806271773280556,0.0,0.0,False,False
pool12e8xz54gjtcz6dzkhua9uq9dp23cqcmf6xc4929t4ep4ketccsm,32836.442065,0.0004235434682942794,0.0008470869365885588,0.0,0.0,False,False
pool12eht6dqxpzqj87xuextrpufz2gxmt4reuesuw26r2utzw0kw906,6368382.236304,0.0821430864662065,0.164286172932413,0.0,0.0,False,False
pool12f2r9xf4wvht030xwjhpjvy5yptr275qr2qcydnx57jkxyfzz2w,501185.996294,0.0064645875673949825,0.012929175134789965,0.0,0.0,False,False
pool12f68ksfmsthe4r9xx2up9x4zx43tstu3psmjvk57papsv8vu9re,1093.094791,1.4099370389705784e-05,2.8198740779411567e-05,0.0,0.0,False,False
