pool_id,pool_ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,declared_fixed_cost_ada,margin,pledge_met,ratio_k500,category_k500,ratio_k1000,category_k1000
pool10tcg3efecc706w98qs7j5jw84nxkcycseksp4mw64pjty26wr7f,,0.0,16451.0,0.0,340.0,0.02,False,0.0,pledge_not_met,0.0,pledge_not_met
pool10tqeu6d03p6rnalqlvdshmpsljxaq2c0ww6draq6xm8lgyl2a3p,CASP,8631852.650929,100000.0,100002.076047,170.0,0.03,True,0.36262799247177074,losing_025_050,0.3626827650480661,losing_025_050
pool10u90lv7ayyfdulnt004h2wg42yff22c8vjlnqjxv7pytypuaykv,,6192.921948,45000.0,7.442557,340.0,0.025,False,0.0,pledge_not_met,0.0,pledge_not_met
pool10usr6ag036ujwhmm85km8w0skjn3fp3dwnktt8sje4lfvwhu40u,WALDO,2136.948271,66000.0,2.081122,345.0,0.019,False,0.0,pledge_not_met,0.0,pledge_not_met
pool10v6uh7yan2dg8utwpgurj6th3u3s3q3m2lcg8z9mxtncvx72dhc,,1.0,100025.042945,1.0,340.0,0.03,False,0.0,pledge_not_met,0.0,pledge_not_met
pool10vgnav004xgw03qkqfy6864zq53lzjkcf0syeu4g3uj8xaytlm8,Pier2,1475.994327,100.0,247.63965,170.0,0.08,True,0.0005914940252014749,losing_lt_025,0.0005914942385782333,losing_lt_025
pool10w8gmhnprfmhdlp6npjt8d3ts64ng4qxsu0mr33dhpxpzwn4rgt,,2.91521,10000.0,2.91521,340.0,0.02,False,0.0,pledge_not_met,0.0,pledge_not_met
pool10wcmpvjmmv7ph7cz2263f52yckvnnwu5kdppwqgu74s2qhe7l7m,4TUN8,1216672.604799,200000.0,204998.65838,340.0,0.01,True,0.4639188997361809,losing_025_050,0.46397516512178305,losing_025_050
pool10wugf8sxugp74y0dafvc83jmcg2z9v7u5yfs79zy67rxc5lqhd6,,4678.355731,330000.0,700.014847,340.0,0.01,False,0.0,pledge_not_met,0.0,pledge_not_met
pool10ww24pk8znf747x6d0wcueajegrjwzpv8x9a4aar4t05s7uzf76,S10E,2452.995576,0.0,2452.995576,340.0,0.018,True,0.0009830198376086679,losing_lt_025,0.0009830198376086679,losing_lt_025
pool10x7rsal3ldumkycuc7f7rslx3vc5axhz5jzwngfcg7hd6t2p7sc,BNP,66639.295215,2.0,29761.65151,345.0,0.06,True,0.0267052049781456,losing_lt_025,0.026705205184814944,losing_lt_025
pool10xk8jp4m2cztf69x9gvg3j33x5drkrz2hulsjes29wktcfcxdls,,14276240.864801,2.0,35270.282973,345.0,0.06,True,0.7930572516484329,losing_075_100,0.7930572544078422,losing_075_100
pool10xmmn972gyza7nj8q4cyy0vrpn6kqzmdz2ut7ynnc8d0ycxlvw3,MATE,344298.643126,101000.0,136208.554279,170.0,0.015,True,0.13801331113584903,losing_lt_025,0.13805162756795378,losing_lt_025
pool10ya6hxrssmyhl560gqyalhqxudkgfjdlc0e4krww6wweyaeajs8,NKR,29702642.180265,40000.0,47007.359428,340.0,0.01,True,0.5911660274692291,losing_050_075,0.5911873423686469,losing_050_075
