pool_id,pool_name.name,pool_name.ticker,pool_name.description,active_stake,live_stake,pledged,live_pledge,blocks.epoch,delegators,epochs.0.no,epochs.0.data.epoch_stake,epochs.0.data.delegators,epochs.0.data.block.minted,epochs.0.data.reward.member_lovelace,epochs.0.data.reward.leader_lovelace,pool_update.active.margin,pool_update.active.fixed_cost,pool_update.active.pledge,saturation
pool1lqeg5d3jpwr3nvra568nk28sr8lttyr6cf4yyssdx6qtxea9nmr,,,,116006369460303,,50000000000,,68,10,234,116006369460303,10,68,35724063332,2220439904,0.05,340000000,50000000000,1.8033000000000001
pool1lqpymyzg9glc88r7urptuv0d8t2tu9ty7xtshvxmgpu0j4lp8p3,,VINCE,,35191698635901,,250000000000,,22,182,234,35191698635901,182,22,20633361517,559666724,0.01,340000000,250000000000,0.5471
pool1lqucyxuvjktfmpf7fd28j54cfgamyrxed344vnwlm9wqkwjeqwk,,SPS3,,18461540576129,,1000000000,,13,55,234,18461540576129,55,13,12096423757,976707291,0.05,340000000,1000000000,0.287
pool1lqxy8cefgwspslwmvjcvu6xddmqwvy5jm8m4z5aveyjcx7hf4fy,,,,150290433948157,,1000000,,89,3,234,150290433948157,3,89,35712000432,2624581937,0.06,345000000,1000000,2.3363
pool1lr0wunp76zfedxk7qvreekyvvdr4n0s2mm5g458n7akrvmdnfwl,,,,1859292333104,,250000000000,,1,4,234,1859292333104,4,1,594832916,340000000,0,340000000,250000000000,0.028900000000000002
pool1lr5ku0p3jhykdf3a2kcr0tyra30qvzrtl02dr6uyv98rxdsy3k9,,STAKE,,4232524761207,,10000000000,,4,23,234,4232524761207,23,4,3653830470,340000000,0,340000000,10000000000,0.0658
pool1lrx4rw8wd9sra8n90qgcvayfqerv9nr96kvzfl8rc22r7k74436,,,,1725548106754,,138000000000,,2,8,234,1725548106754,8,2,1493067939,388170609,0.0288,340000000,138000000000,0.0268
pool1lskcfz80qg2kr2p6776kl9emjn8ulkqsqse7um7skz4y2lwa0cu,,CERO,,191486299242,,10000000000,,1,5,234,191486299242,5,1,488794357,340000000,0,340000000,10000000000,0.003
pool1lssudmnyy4vlzrvpmw4539xwklnx0lm2murc9t7n25u9sg2ce3n,,PREV,,132626133890,,45000000000,,0,5,234,132626133890,5,0,0,0,0.02,340000000,45000000000,0.0021
pool1lurfk0k0wwx54hlg8a7zp3jtstu57u59aeq7aketl55hknmmtu0,,TNTM,,85079362964094,,1000000000000,,58,530,234,85079362964094,530,58,43161472000,340000000,0,340000000,1000000000000,1.3226
pool1lv7v8r8ge22agkuv2astu503d42v749p6rp3sg8l6twuwqm525c,,,,509638348213,,100000000,,0,2,234,509638348213,2,0,0,0,0.15,345000000,100000000,0.0079
pool1lvh0pd5n8c3cjzhgef9y6vfh7cver24hdve6ysnwpa42ys5emms,,RAOOL,,31343997287,,40000000000,,0,1,234,31343997287,1,0,0,0,0.03,340000000,40000000000,0.0005
pool1lvmhenv95a22ykn2jzscs36smkpggztk9dhgnll30y0c6sr250l,,,,23340773040,,10000000,,0,3,234,23340773040,3,0,0,0,0.03,340000000,10000000,0.0004
pool1lvsa8e0dw6z8g2fkw7prnfa7627wuy5jjexaadck6w5sxw5xkvm,,DIGI2,,65545198198957,,215000000000,,51,541,234,65545198198957,541,51,48275707004,1589610303,0.025,340000000,215000000000,1.0189
pool1lwp660axwpdvsttmcka3pfax67fdjexj54d0h0jpnkw5cjqqn68,,,,1100000000,,1000000000,,0,1,234,1100000000,1,0,0,0,0.02,340000000,1000000000,0.0
pool1lyvtenf7325hsrtdgeqsv7yau6hyq7ztpdwwdeqcueh8s83h34l,,,,141253883238,,125000000000,,0,5,234,141253883238,5,0,0,0,0.0333,340000000,125000000000,0.0022
pool1lyytj00rq6h39sg3kmjer5ce0p99s5qw5qrht38gf6lgq7tfmp6,,,,119482751063,,100000000000,,0,4,234,119482751063,4,0,0,0,0.02,340000000,100000000000,0.0019
pool1lzrg40g7vwgrxf52h40mjv77wywajekkfr5p63gcaa6gxrnqy2t,,,,4893481561213,,6000000000,,2,34,234,4893481561213,34,2,1605118679,373276518,0.0199,340000000,6000000000,0.0761
pool1lzupr43772kfux007sdt02vlx7uzmfcplrwmxntdztxmwv9myrj,,CRCI,,182657915686,,57000000000,,0,3,234,182657915686,3,0,0,0,0.02,340000000,57000000000,0.0028000000000000004
pool1m27ugxpqrkkn2ky9z4sel68smx6zsralnmct3y60u8ttku8duhe,,BOOM,,737683001,,1000000000000,,0,1,234,737683001,1,0,0,0,0.025,340000000,1000000000000,0.0
pool1m2tgjxn880a3v6w4v3uf3kz9kduhvtr97slmpwnppd6r63230sm,,,,124793221220,,123450000000,,0,1,234,124793221220,1,0,0,0,0,340000000,123450000000,0.0019
pool1m3wam7j8xjahp5mq03rfkcfcy45kevzfyekmdy74x8ghgpm5cdz,,,,857833223015,,27700000000,,1,10,234,857833223015,10,1,624695266,359966019,0.03,340000000,27700000000,0.013300000000000001
pool1m5chjwkxs3w5l43uf4y9ys2pprqxv86ffdm0fr4n38np2c7mhg6,,,,21374907077,,500001000000,,0,3,234,21374907077,3,0,0,0,0.01,340000000,500001000000,0.0003
