epoch,rank,pool_id,ticker,active_stake_lovelace,declared_pledge_lovelace,active_pledge_lovelace,n_owners
228,52,pool16qd8xyz4dsn3g5zxdxtvr253u8jpy7xcn4ut9v92ug20gegt55h,IOG7,118678890740766.0,2700000000000.0,2700000000000.0,1
228,53,pool1lq7t0qg273vp8t2wzmeyj7sdq2vhu2v87jjplgurpfxcs9afnr3,,117707785024153.0,0.0,18020773434.0,1
228,54,pool19z8vmgdts5lstk8z5lc8mgz3a8jhggscsf9cygvuz0vtuzcsxyu,IOG9,115837993059290.0,2500000000000.0,2500000000000.0,1
228,55,pool1rcj4kw3nepfpwr6s2tzgq3x3emw45n9w58063j98h38rse482k0,IOG8,115343190004824.0,2500000000000.0,2500000000000.0,1
228,56,pool1lqeg5d3jpwr3nvra568nk28sr8lttyr6cf4yyssdx6qtxea9nmr,,115289721759168.0,0.0,48076784235.0,1
228,57,pool1uqehpxy4wst2k5u640wdt9tgmqdd26l0dahgxf3ln70js830xv2,IOG10,114776644934275.0,2500000000000.0,2500000000000.0,1
285,1,pool1ye4zrxf0w7d7drq5wmat36dlzq270dxy9rhgcwufnaja644vwr9,NUFIH,83465853216101.0,1000000000.0,4041664040.0,8
285,2,pool1wpmjtfqcwvtcs9znpuulk99yk2zz6pfh0c4k9f2xlcspgqjndk2,MS4,67946313440054.0,100000000000.0,105218503133.0,1
285,3,pool16jtszaecta7rey84rteah39gv53pw7953u37fhrqm49xwfdtdjd,BNP,67395590410487.0,2000000.0,2415014641.0,1
285,4,pool1x0qm7xsyh2za3ltprxsgael544je4hg8tc3q3v5gv232z8jt4wp,PPCX1,66178041977791.0,1200000000000.0,1203807223547.0,2
285,5,pool16agnvfan65ypnswgg6rml52lqtcqe5guxltexkn82sqgj2crqtx,SPIRE,65975264304136.0,1000000000000.0,2005888686862.0,2
285,6,pool1xgqwmz4nydmn6ng6vsen5rtehy7u3uaytsml3q2pudp3w35uaxu,BNP,65943485465360.0,2000000.0,2673970065.0,1
285,7,pool1h66njz7qg7p3sa9dd8mptfhsy04pyxr9ca0v8zwkcz3eyg3g3au,BNP,65927990040926.0,2000000.0,3242691424.0,1
285,8,pool1v8f9npqqyywumf58s5g7kmvywx09c5pv02nr65q00ftuur8780p,BNP,65926367019984.0,2000000.0,2462162949.0,1
285,9,pool10cqp98vsdtam5p4xkfuleahy99vcdggsfdl4cszxcefmcheexma,BNP,65911602671072.0,2000000.0,3068156025.0,1
285,10,pool15fgwk5vxn34efj79qlfzuahdpu6ax8x2hkchyh8mehdh23q0nqz,BNP,65910210348018.0,2000000.0,3199152114.0,1
285,11,pool1lxg4rf0aqqachwft52hs9mtwlmpfyw6jqxyulz0pcfj25d4uaqd,BNP,65903674924302.0,2000000.0,3071129777.0,1
285,12,pool12va8zrqehhwuz39trxgq6dagzjyq3qjenqd96jy9qvwwx2372zv,BNP,65902964279104.0,2000000.0,2983872098.0,1
285,13,pool1jd33dsshcmepweqwmrgn9jc0lqfnammnua8yc2qq9w0txxkawt6,BNP,65902570427676.0,2000000.0,3506743689.0,1
285,14,pool1z8rxpwrukslywg9s2wy4kvfhknqg7dnah5pszf7fcm0fu2valeh,BNP,65902532946864.0,2000000.0,2505468876.0,1
285,15,pool15auyy282239uj3z4uah4y74wu5exdy5lpwegj6yn5pzy7g4rv3r,BNP,65900970057250.0,2000000.0,3111777442.0,1
285,16,pool19jyw8flky7da5y20jtdme4utwd8sa0l5pletmnny06w9xx05eqc,BNP,65900403304408.0,2000000.0,2981199585.0,1
285,17,pool1yp85j5tmfwwlj8hmsxcrp2dnxuu0fu858qvl6tpeedpckt9zvkj,BNP,65899548523160.0,2000000.0,2592686887.0,1
285,18,pool1etu9qtmx2dhf2yu0hu3uzj4au8gnpyx54m6jhy5876pwsulrcmc,BNP,65899394003466.0,2000000.0,2418762850.0,1
285,19,pool1j6jx6knedgcysdyjcdchlq9hcmhc062jttck9lav7a8aklta6mk,BNP,65897291596069.0,2000000.0,2633145169.0,1
285,20,pool1c8f3ffu2g0eatw4fctjpq5q48pppzst0yg90fgj23637uhhhx23,BNP,65897195775869.0,2000000.0,3375825600.0,1
