pool_id,pool_ticker,epoch_stake_ada,declared_pledge_ada,active_pledge_ada,margin,declared_fixed_cost_ada,T_ada,R_ada,a0,opex_epoch_ada_Cstar,ada_usd,z0_k150_ada,f_ada_k150,Pi_ada_k150,coverage_ratio_k150,category_k150,viable_k150,z0_k500_ada,f_ada_k500,Pi_ada_k500,coverage_ratio_k500,category_k500,viable_k500
pool1qzlwlyu92fsx94qu6u5nw3sy334f5yat3dv3jgx0grrsv0kp422,BCSH1,72346390.713235,500001.95,500001.95,0.02,500.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,51622.73035372187,1868.7087231664893,1.8490970873911288,edge,True,64070000.0,45792.13524859551,1712.606215995581,1.6946328374169166,edge,True
pool1r04czz6aq4qnd8a3x2klzd6g20mrxns0ksrac0z0jn7uycgl7l2,VIRGO,30017.640838,30000.0,30000.0,0.03,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,21.404109292311333,21.404109292311333,0.02117947846015814,losing,False,64070000.0,21.404111810363695,21.404111810363695,0.021179480951784166,losing,False
pool1r2249l40de8nlj77u77yzk8kxl3av4k09ztswcuqfexzcxwx3k8,LUCK2,1289.321998,25000.0,25000.0,0.005,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,,0.0,0.0,no_rewards,False,64070000.0,,0.0,0.0,no_rewards,False
pool1r4hj35clvexkq0j0cagcxrt9945cp7agzslvjxpfa9fg62qpemv,P00L,2981556.764357,1.0,1.0,0.019,345.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,2126.002017328955,378.83962431942814,0.3748637961781448,losing,False,64070000.0,2126.0020242974615,378.83962445183204,0.3748637963091591,losing,False
pool1r6lp6uumua0kvs069y0k5kh3t7acvv4pz9pfw3zs6rmmcs52z4z,DREAM,30001.438113,10000.0,10000.0,0.007,345.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,21.392755608851875,21.392755608851875,0.021168243930797956,losing,False,64070000.0,21.393223225706947,21.393223225706947,0.021168706640129813,losing,False
pool1r88vs06qv3vjrndvhewwhz08zc6ka7eqwxvf4stsj53n50nr8n7,LEAVE,5410591.32919,0.0,0.0,0.00777,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,3858.0275251354797,367.33507387030267,0.3634799831400296,losing,False,64070000.0,3858.0275251354797,367.33507387030267,0.3634799831400296,losing,False
pool1r8938r4ts8f4t8nsp9xl9dktzapt7f67jgpsp4wrju39xrdnaye,VENUS,4849899.407025,70000.0,70000.0,0.0085,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,3458.5608224125367,411.1362624941508,0.40682148912464694,losing,False,64070000.0,3459.343961657907,411.1541263749922,0.40683916552847804,losing,False
pool1r8fcle3xp2n9xskpemchvtqewudt9377xkjtpfxhkp3hxx87ssx,COIN,92785.645282,50000.0,50000.0,0.008,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,66.16304032110396,66.16304032110396,0.06546867558010287,losing,False,64070000.0,66.1680512621802,66.1680512621802,0.0654736339325921,losing,False
pool1r8fe9j8rkt55zh6pu7ctvdf8s66p3ezqllmxssp6p3vp56e0m2l,,18709.888054,5000.0,5000.0,0.05,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,13.341172932844673,13.341172932844673,0.013201160623204623,losing,False,64070000.0,13.341333169110694,13.341333169110694,0.013201319177830672,losing,False
pool1r9dfv5360alp5dh020k050d4n4yh9h4gms9lf0srm43z5zk4d3s,,4949.942553,0.0,0.0,0.2,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,3.5295614574114085,3.5295614574114085,0.0034925195830457713,losing,False,64070000.0,3.5295614574114085,3.5295614574114085,0.0034925195830457713,losing,False
pool1r9qyjstrc050njg8lm7wxy5874mgu322vyljntdsm5qgxvjcewv,SHEIN,68210.47856,0.0,0.0,0.0001,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,48.637549535004325,48.637549535004325,0.048127110484412074,losing,False,64070000.0,48.637549535004325,48.637549535004325,0.048127110484412074,losing,False
pool1rcd7qslz3xnpnk9u6tcwegy5r2574uf8suqu24ptg637jha3sr5,NINI,23332147.45962,100.0,100.0,0.02,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,16637.01327393571,666.0087164133574,0.6590191196893792,losing,False,64070000.0,16637.018727124232,666.0088255000325,0.6590192276312166,losing,False
pool1rcj4kw3nepfpwr6s2tzgq3x3emw45n9w58063j98h38rse482k0,IOG8,115343190.004824,2500000.0,2500000.0,0.05,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,82531.50772440698,6141.958186083111,6.077499854295133,strong,True,64070000.0,46219.9654278306,3578.7000599109942,3.5411424880678504,comfortable,True
pool1rcq8vnrl52890nvt0300w7rgqkuk4az98kd9zcvu43agk3u84ms,ALIVE,96638.219966,5000.0,5000.0,0.007,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,68.90843772204376,68.90843772204376,0.06818526071446608,losing,False,64070000.0,68.90950872307567,68.90950872307567,0.06818632047560712,losing,False
pool1rd0cadxrmef8fl99e2ms3tytzq874m2ahraaexfrhpnr67d7s8a,PROM,1522562.697114,800000.0,800000.0,0.025,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,1086.248371739217,740.9549028447564,0.7331787644340917,losing,False,64070000.0,1087.6456031973426,741.7056271675963,0.7339216100908749,losing,False
pool1rdhe7a6mxczczmxt82x44r2x4tvv6tm8tsr39nvl5z72v6nqgp8,,778.936092,50.0,50.0,0.005,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,0.5554211911280591,0.5554211911280591,0.0005495921831252158,losing,False,64070000.0,0.5554212763118,0.5554212763118,0.0005495922674149745,losing,False
pool1re8cmjt895tpx8dx2veg0cew5yqtxnt82sll03e433a4ugnh9w7,RISE,34634.045394,30000.0,30000.0,0.02,345.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,24.695979878480145,24.695979878480145,0.024436801678855914,losing,False,64070000.0,24.696306278053527,24.696306278053527,0.024437124652946517,losing,False
pool1rfwfql54dxqe2f3pht7c8xztq9c5wncdhcp542nk76dcgshtvdk,,376.518669,200.0,200.0,0.01,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,0.2684770465303598,0.2684770465303598,0.0002656594463418853,losing,False,64070000.0,0.26847712904313203,0.26847712904313203,0.00026565952798870637,losing,False
pool1rg2pt0fqslda6cz6kxr0tqrjdj596sk8uu2swm33yvm46awgew7,,12.630366,0.0,0.0,0.0,3400.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,0.009006095030250648,0.009006095030250648,8.91157829080274e-06,losing,False,64070000.0,0.009006095030250648,0.009006095030250648,8.91157829080274e-06,losing,False
