pool_id,ticker,sigma_ada,fixed_cost_ada,margin,pledge_met,f_ada_rho_0p003,f_ada_rho_0p0042,member_apr_rho_0p003,member_apr_rho_0p0042,f_gt_c_rho_0p003,f_gt_c_rho_0p0042
pool10xmmn972gyza7nj8q4cyy0vrpn6kqzmdz2ut7ynnc8d0ycxlvw3,MATE,344298.643126,170.0,0.015,True,102.28319836401259,143.19647770961762,0.0,0.0,False,False
pool10ya6hxrssmyhl560gqyalhqxudkgfjdlc0e4krww6wweyaeajs8,NKR,29702642.180265,340.0,0.01,True,8822.894484521894,12352.05227833065,0.020639873741728106,0.029226727133781574,True,True
pool10zyf32q3w3n9x940j6yqgkwuegzn77p94wcmpku6gvmrqw8a97d,XSP,25947752.278328,340.0,0.037,True,7706.94353042846,10789.720942599843,0.019958906563099097,0.02831092746161989,True,True
pool120s8wucgh9dnshf3xkvffq30lcf4kta9uzf35s44eulezc8puwj,REEF,9.802291,340.0,0.01,True,0.002911229439625739,0.004075721215476034,0.0,0.0,False,False
pool122gfj3ynz5ch8cfkx0tt5dsfpnf36sujcvrvxzqjm28yym8vv8x,CTUTS,67.456466,340.0,0.02,False,0.0,0.0,0.0,0.0,False,False
pool122gklgk6gep3dm5grag0kavzzxcwk4kxxrqegfygghjpgch6pns,,26415.60343,340.0,0.05,True,7.845296819002959,10.983415546604142,0.0,0.0,False,False
pool122pmneflla304ptc7s5ws948u28zaek08k6hk3fmw8rgkzmgect,PBDOT,3262.347727,340.0,0.01,True,0.9689008810519709,1.356461233472759,0.0,0.0,False,False
pool1233gq8vt6nzytuw60sr9gy2jmehc88fpglrjrzsd8kys5gqelgg,,4079.358398,345.0,0.01,True,1.2115517598906596,1.6961724638469233,0.0,0.0,False,False
pool123gn9my6u32zea8l3uk889rjj2qf2tfagcz67q4v4r9ccjjtge7,SNY,3543.776436,345.0,0.15,True,1.0524835603820213,1.4734769845348297,0.0,0.0,False,False
pool124hy9qgc0nhqsve268kj5r53pvz7ppg295q6r2d0sjxswchljf0,BNP,32121961.703908,345.0,0.06,True,9540.055581876148,13356.077814626606,0.019642782711853407,0.027794695973722427,True,True
pool124lm97s6f4satl7xz0ulzgg6tv30tskry3zcntwrz68n60v5yne,SHARP,11058.880161,340.0,0.035,False,0.0,0.0,0.0,0.0,False,False
pool12582dmkl7xanxlmfnwd4fepmx4tt5kkw327mmklcjdxngwaxvh2,FGMTF,1001983.096233,170.0,0.1,True,297.58376665463686,416.61727331649155,0.008365663553330486,0.01617068682875836,True,True
pool12584mjtgz3fhgpx823qht56gycnfnezg6aqqthazv4qdxkd5c46,DOLCA,713579.760243,170.0,0.02,True,211.96763349065452,296.7546868869163,0.004207468691235034,0.012707801993714057,True,True
