pool_id,ticker,sigma_ada,pledge_met,f_base,f_new,pi_base,pi_new,ratio_base,ratio_new,category_base,category_new,desirability_base,desirability_new
pool1qqqq02jxq3q9j93devp9pts90ctm8w3r0rgek97ngujpjgpw46j,ZENY,118639.005847,True,35.23523538983663,49.32932954577128,35.23523538983663,49.32932954577128,0.047543795878340275,0.06656131422967639,losing_lt_025,losing_lt_025,0.0,0.0
pool1qqqq4md2rfdt75qvh3x9cgmkrgkl74ctcj3fnxpu3ylcudl22ex,MASTR,5117255.837921,True,1519.8570631623584,2127.7998884273015,365.860065926514,379.184935549928,0.49366425687235765,0.5116438410718668,losing_025_050,losing_050_075,0.00022595311989890025,0.00034237957728737727
pool1qqqq58jy30weq2an3px3maljdmawcwh6ml4hr8m9euq9z2n7wyz,COAST,713027.446597,True,211.76585147243964,296.47219206141546,211.76585147243964,296.47219206141546,0.28574102897330683,0.4000374405626295,losing_025_050,losing_025_050,0.0,0.0
pool1qqqqdktl6pq46td0mwut0qn30g7nlue0sete9wxl0hwsq37wrw8,STR8,54417283.931373,True,16202.15562979526,22683.01788171336,678.7506920633682,884.4088226333495,0.9158555065322809,1.1933552329385524,losing_075_100,edge,0.00028872283550596784,0.00040543658062579876
pool1qqqqpanw9zc0rzh0yp247nzf2s35uvnsm7aaesfl2nnejaev0uc,TITAN,55063701.336049,True,16369.43240718724,22917.205370062133,404.8080276345695,499.7168871653196,0.5462177284424475,0.674280657344509,losing_050_075,losing_050_075,0.00029125245295880624,0.00040897601813807483
pool1qqqqqdk4zhsjuxxd8jyvwncf5eucfskz0xjjj64fdmlgj735lr9,ATADA,69538883.749141,True,20756.378777133836,29058.930287987365,933.6540265549223,1175.0701556785705,1.259803034331979,1.5855519341989706,edge,edge,0.0002906606189175732,0.000408861049419113
pool1qqqqrwzy7njvjq9wph7usj5gghm3py9c97688ek8pgc7uem9cfz,FROG2,6408784.32699,True,1904.4566701639487,2666.239338229528,437.73029393202313,485.31821725531205,0.5906405765199711,0.6548521672110656,losing_050_075,losing_050_075,0.00023434684750310122,0.0003484576248408728
pool1qqqqvmpm9v2l0tkwx4dpzth3g85lapxjug2j6sucnphyqlt4fuu,SALUD,59023.768048,True,17.529785661895648,24.54169992665391,17.529785661895648,24.54169992665391,0.02365338395158333,0.033114737532216665,losing_lt_025,losing_lt_025,0.0,0.0
pool1qqqqx69ztfvd83rtafs3mk4lwanehrglmp2vwkjpaguecs2t4c2,WOLF,1332002.486422,True,395.605434316219,553.8476080427065,341.5881784101789,346.1078230633074,0.4609135840617106,0.467012055107911,losing_025_050,losing_025_050,4.070627461619248e-05,0.00015654835837624684
pool1qqqqzyqf8mlm70883zht60n4q6uqxg4a8x266sewv8ad2grkztl,FROG,4589709.150867,True,1363.6363965331898,1909.0909551464654,402.4141556349851,435.67214238535877,0.5429876162990803,0.5878634604899893,losing_050_075,losing_050_075,0.0002141074539518982,0.00032819668249698574
pool1qqqyv9pn9typyqwcxqk5ewpxy5p27g5j2ms58hpp2c2kuzs5z77,ANGEL,25992645.513419,True,7721.3376621029,10809.87272694406,392.3187969543799,483.248302519052,0.5293656930418918,0.6520591788113145,losing_050_075,losing_050_075,0.00028325528529788644,0.00039910812092654543
pool1qqvukkkfr3ux4qylfkrky23f6trl2l6xjluv36z90ax7gfa8yxt,STAKE,23070236.932187,True,6853.063991076234,9594.289587506728,406.11838798058164,433.94636844805797,0.547985830858356,0.5855348299898833,losing_050_075,losing_050_075,0.0002800560522260376,0.0003979263541068631
pool1qr6jmmu8q2u44gzy2xarmnkq70c0ggz72nnh77qmevl62th69k3,,381.26312,True,0.11323319540098228,0.15852647356137517,0.11323319540098228,0.15852647356137517,0.0001527884195815353,0.0002139037874141494,losing_lt_025,losing_lt_025,0.0,0.0
pool1qrmc270m32g080pks0uvyf0hhj7m8gyhgckkpy32l7nnzrll85v,,537.982299,True,0.15977798599799167,0.22368918039718833,0.15977798599799167,0.22368918039718833,0.0002155924848548613,0.0003018294787968058,losing_lt_025,losing_lt_025,0.0,0.0
pool1qrp4nzmalqdgc96avaqjha9zp6mkahtzler6tvuupzlvvw786qn,,96578.165534,True,28.684461618521862,40.1582462659306,28.684461618521862,40.1582462659306,0.03870467084957972,0.054186539189411596,losing_lt_025,losing_lt_025,0.0,0.0
pool1qsdg8ylzy4kv624drfgkzuqgqj3y29lw44qnvltepht2wegh58c,ADLF1,3168.038168,False,0.0,0.0,0.0,0.0,0.0,0.0,pledge_not_met,pledge_not_met,0.0,0.0
pool1qsql4xy359qgypnnh3hu3hm7ax4rs37gkas9tnhun03ygglxtth,,2.267244,False,0.0,0.0,0.0,0.0,0.0,0.0,pledge_not_met,pledge_not_met,0.0,0.0
pool1qsxhnvr03tg6jj7cl0y74jd63n85fgejm8tlqq7ct7fexfygkye,BRNS,381219.10436,True,113.23913735576399,158.5347922980696,113.23913735576399,158.5347922980696,0.15279643721167552,0.21391501209634575,losing_lt_025,losing_lt_025,0.0,0.0
pool1qtscx3ge0rgmpffgqen5uup8r8tnav7a2veduweskqx7gf8gjec,,50181832.588042,True,14903.743202179981,20865.24048305197,1080.697936564854,1383.8939400564502,1.4582131078086484,1.867323157497459,edge,edge,0.0002757084651660949,0.000388566488174564
pool1qu48wpwwarmkewhlwge9xs87sgt8gdnqq26nnre2v6c8up4fxwr,OBS,3349631.645731,True,995.1789546332689,1393.2505364865763,393.4864777920331,425.9836248262417,0.5309412743820536,0.574790498266293,losing_050_075,losing_050_075,0.00019168536825800182,0.00030814896529662676
pool1quj6cp7w4tarq7hrcdsjxlgcmnunm2xvnpvmj20l9nplue6rjxx,FGPX,243777.518211,True,72.41333994386997,101.37867592141795,72.41333994386997,101.37867592141795,0.09770915434705092,0.1367928160858713,losing_lt_025,losing_lt_025,0.0,0.0
pool1qv3velgldz529zq904jy9qfrhdh0akwkkhylu2rymd6sw9m02cc,RVH,41.543327,True,0.012338151985300945,0.01727341277942132,0.012338151985300945,0.01727341277942132,1.664818108961147e-05,2.3307453525456053e-05,losing_lt_025,losing_lt_025,0.0,0.0
pool1qvhss6kxmtl27nr4ugvypayhvt4a4vzll8p9csdg2v8q7d22llu,ASTRA,6087912.038959,True,1808.4253796614755,2531.7955315260656,381.19338606790666,401.4859159767998,0.5143538942445517,0.541735119009175,losing_050_075,losing_050_075,0.00023637937980364068,0.000352823695078031
pool1qvkdjemewy8phhrkdhscjcnh3947f5ae42rdfjkv6gkgkjtlfsg,RANMA,18436221.264156,True,5475.463917759949,7665.649484863929,5475.463917759949,7665.649484863929,7.388182197876992,10.343455077027789,strong,strong,0.0,0.0
pool1qvqpd95v4k2ge6unntpettve72ntguk6qp9ktet572e7v4v9de8,,136.644068,True,0.04058257769752134,0.05681560877652987,0.04058257769752134,0.05681560877652987,5.475910034148306e-05,7.666274047807628e-05,losing_lt_025,losing_lt_025,0.0,0.0
pool1qvudfuw9ar47up5fugs53s2g84q3c4v86z4es6uwsfzzs89rwha,LGNS1,41840137.95723,True,12426.303776251752,17396.825286752453,1619.1467260345028,2145.1988950469895,2.1847557022954307,2.8945712227020843,comfortable,comfortable,0.00025998177658367183,0.0003668999077816024
pool1qvvn2l690zm3v2p0f3vd66ly6cfs2wjqx34zpqcx5pwsx3eprtp,VIPER,22616561.896847,True,6727.293093817531,9418.210331344542,338.37554758959857,407.4718434092999,0.45657869989601,0.5498120825612741,losing_025_050,losing_050_075,0.0002899332411232536,0.0004089131837776743
pool1qw4h9v0yqy53m2yx6ngcj5w8394q7wtmfk06edlpvu0zw4gn9ku,CORN,7727.136525,True,2.2949312601770724,3.2129037642479013,2.2949312601770724,3.2129037642479013,0.003096608896790652,0.004335252455506913,losing_lt_025,losing_lt_025,0.0,0.0
pool1qw5jc5u4k6ck47kdwtwh8msv6t82x5c6qx38hjaycnha6skrek7,,4.593662,False,0.0,0.0,0.0,0.0,0.0,0.0,pledge_not_met,pledge_not_met,0.0,0.0
pool1qwa8x4u4a2pff0xdv0haxpgk3tyrvl5adl2lpf3ztcftqruhea0,ELITE,24281445.731307,True,7217.012541035261,10103.817557449365,401.8804088810486,427.8563211990265,0.5422674182802754,0.5773173749312202,losing_050_075,losing_050_075,0.0002832208846678542,0.00040211022298645505
pool1qwn9l4vzm4rsrd5kexuafqlsgg4ap877vsunqpm4yq89crm4aqr,,79.065199,False,0.0,0.0,0.0,0.0,0.0,0.0,pledge_not_met,pledge_not_met,0.0,0.0
pool1qxpjz94fpwdwnltngf036yjkh63nrl55xkshug56aukqqwn6gsn,TW002,297944.639549,True,88.48804208614355,123.88325892060095,88.48804208614355,123.88325892060095,0.11939915723767494,0.16715882013274488,losing_lt_025,losing_lt_025,0.0,0.0
pool1qxpzlkxfem0q230hjp9f622c6yaej8qycwy34nwyt98axedf78f,,103.0,True,0.03059046436339012,0.042826650108746166,0.03059046436339012,0.042826650108746166,4.127648864625353e-05,5.778708410475494e-05,losing_lt_025,losing_lt_025,0.0,0.0
pool1qz9qfxcxsc46vpgrrj868scmttjp3y9xaehyn6knknegcsphq6u,KTO,37857.049966,True,11.243351223671482,15.740691713140075,11.243351223671482,15.740691713140075,0.015170938682615192,0.021239314155661267,losing_lt_025,losing_lt_025,0.0,0.0
pool1qzg0lsft8d6zz5vytz5td3f383ra8f46zsdnsa93dgrg2nf7ckf,,509.235798,True,0.15124042968233226,0.21173660155526514,0.15124042968233226,0.21173660155526514,0.0002040725437992489,0.00028570156131894843,losing_lt_025,losing_lt_025,0.0,0.0
pool1qzlw72zfwhhc0ptvzdpld06szu39x9mlm6782efy6sluz932fx6,BCSH2,3585084.85862,True,1064.7926429529482,1490.7097001341272,356.4774978578129,366.1603326182707,0.4810041200480234,0.4940694143275016,losing_025_050,losing_025_050,0.0001981255167185366,0.000314551970344581
pool1qzlw756y0z6ehg9jkerrfrydr7qlvzl5pgset33h3h2akst593a,BCSH5,2821999.887363,True,838.1516056882928,1173.4122479636098,351.6933129070098,359.56302074447365,0.47454869807542543,0.4851674942579104,losing_025_050,losing_025_050,0.0001729938317009331,0.00028942028192904676
pool1qzlw76zztkg02rywyypyw6s0gtkg2zpkaxhl6cq7eauqg8h9659,BCSH6,2859824.63611,True,850.7196472133936,1191.007506098751,488.1035576355502,554.6206734820439,0.6586104975592131,0.7483637273370907,losing_050_075,losing_050_075,0.00015366384724582665,0.00026967818540626687
pool1qzlw7den2mlj0fmm65g0fnf46vyhzkhmdaf0f8v3s6skuue6rlk,BCSH4,11214663.296107,True,3330.8254389018684,4663.155614462615,402.4300593169477,430.2409274499126,0.5430090755401092,0.5805349845650993,losing_050_075,losing_050_075,0.00026135505389103265,0.0003777815160660299
