a0,sum_f_ada,sum_f_baseline_a0_0.3,savings_vs_baseline_ada,savings_vs_baseline_pct_of_R,unallocated_pct_of_R
0.278000,6611064.3716389239,6512525.2186889034,-98539.1529500205,-0.65839803,55.82759123
0.279000,6606511.7773239436,6512525.2186889034,-93986.5586350402,-0.62797947,55.85800979
0.280000,6601966.2964375913,6512525.2186889034,-89441.0777486879,-0.59760844,55.88838082
0.281000,6597427.9123207545,6512525.2186889034,-84902.6936318511,-0.56728482,55.91870443
0.282000,6592896.6083663385,6512525.2186889034,-80371.3896774352,-0.53700852,55.94898074
0.283000,6588372.3680190463,6512525.2186889034,-75847.1493301429,-0.50677941,55.97920985
0.284000,6583855.1747750854,6512525.2186889034,-71329.9560861820,-0.47659738,56.00939187
0.285000,6579345.0121820765,6512525.2186889034,-66819.7934931731,-0.44646233,56.03952692
0.286000,6574841.8638388682,6512525.2186889034,-62316.6451499648,-0.41637415,56.06961511
0.287000,6570345.7133951196,6512525.2186889034,-57820.4947062163,-0.38633273,56.09965653
0.288000,6565856.5445514685,6512525.2186889034,-53331.3258625651,-0.35633795,56.12965131
0.289000,6561374.3410589965,6512525.2186889034,-48849.1223700931,-0.32638971,56.15959954
0.290000,6556899.0867192596,6512525.2186889034,-44373.8680303562,-0.29648791,56.18950135
0.291000,6552430.7653839113,6512525.2186889034,-39905.5466950079,-0.26663242,56.21935683
0.292000,6547969.3609546311,6512525.2186889034,-35444.1422657277,-0.23682316,56.24916610
0.293000,6543514.8573829457,6512525.2186889034,-30989.6386940423,-0.20706000,56.27892926
0.294000,6539067.2386699663,6512525.2186889034,-26542.0199810630,-0.17734284,56.30864641
0.295000,6534626.4888661783,6512525.2186889034,-22101.2701772749,-0.14767158,56.33831767
0.296000,6530192.5920713693,6512525.2186889034,-17667.3733824659,-0.11804611,56.36794315
0.297000,6525765.5324342744,6512525.2186889034,-13240.3137453711,-0.08846632,56.39752294
0.298000,6521345.2941525551,6512525.2186889034,-8820.0754636517,-0.05893211,56.42705715
0.299000,6516931.8614725368,6512525.2186889034,-4406.6427836334,-0.02944337,56.45654589
0.300000,6512525.2186889034,6512525.2186889034,0.0000000000,0.00000000,56.48598926
0.301000,6508125.3501447728,6512525.2186889034,4399.8685441306,0.02939811,56.51538737
0.302000,6503732.2402312690,6512525.2186889034,8792.9784576343,0.05875106,56.54474032
0.303000,6499345.8733874923,6512525.2186889034,13179.3453014111,0.08805896,56.57404821
0.304000,6494966.2341002254,6512525.2186889034,17558.9845886780,0.11732190,56.60331116
0.305000,6490593.3069037991,6512525.2186889034,21931.9117851043,0.14654000,56.63252926
0.306000,6486227.0763799632,6512525.2186889034,26298.1423089402,0.17571335,56.66170261
0.307000,6481867.5271576028,6512525.2186889034,30657.6915313005,0.20484207,56.69083132
0.308000,6477514.6439126730,6512525.2186889034,35010.5747762304,0.23392624,56.71991550
0.309000,6473168.4113678681,6512525.2186889034,39356.8073210353,0.26296597,56.74895523
0.310000,6468828.8142926078,6512525.2186889034,43696.4043962955,0.29196137,56.77795063
0.311000,6464495.8375027291,6512525.2186889034,48029.3811861742,0.32091254,56.80690180
0.312000,6460169.4658604180,6512525.2186889034,52355.7528284853,0.34981957,56.83580883
0.313000,6455849.6842738930,6512525.2186889034,56675.5344150104,0.37868257,56.86467183
0.314000,6451536.4776974190,6512525.2186889034,60988.7409914844,0.40750164,56.89349090
0.315000,6447229.8311309433,6512525.2186889034,65295.3875579601,0.43627688,56.92226614
0.316000,6442929.7296200208,6512525.2186889034,69595.4890688825,0.46500839,56.95099765
0.317000,6438636.1582557000,6512525.2186889034,73889.0604332034,0.49369626,56.97968552
0.318000,6434349.1021741480,6512525.2186889034,78176.1165147554,0.52234061,57.00832986
0.319000,6430068.5465567000,6512525.2186889034,82456.6721322034,0.55094152,57.03693077
0.320000,6425794.4766295822,6512525.2186889034,86730.7420593211,0.57949909,57.06548835
0.321000,6421526.8776637707,6512525.2186889034,90998.3410251327,0.60801343,57.09400269
0.322000,6417265.7349747363,6512525.2186889034,95259.4837141670,0.63648463,57.12247389
0.323000,6413011.0339224264,6512525.2186889034,99514.1847664770,0.66491279,57.15090205
0.324000,6408762.7599109933,6512525.2186889034,103762.4587779101,0.69329801,57.17928726
0.325000,6404520.8983886158,6512525.2186889034,108004.3203002876,0.72164038,57.20762963
0.326000,6400285.4348474285,6512525.2186889034,112239.7838414749,0.74994000,57.23592926
0.327000,6396056.3548232466,6512525.2186889034,116468.8638656568,0.77819697,57.26418623
0.328000,6391833.6438955143,6512525.2186889034,120691.5747933891,0.80641139,57.29240064
0.329000,6387617.2876869962,6512525.2186889034,124907.9310019072,0.83458334,57.32057260
0.330000,6383407.2718637558,6512525.2186889034,129117.9468251476,0.86271293,57.34870219
0.331000,6379203.5821348941,6512525.2186889034,133321.6365540093,0.89080025,57.37678951
0.332000,6375006.2042525141,6512525.2186889034,137519.0144363893,0.91884540,57.40483466
0.333000,6370815.1240113238,6512525.2186889034,141710.0946775796,0.94684848,57.43283773
0.334000,6366630.3272487847,6512525.2186889034,145894.8914401187,0.97480956,57.46079882
0.335000,6362451.7998446953,6512525.2186889034,150073.4188442081,1.00272876,57.48871802
0.336000,6358279.5277211303,6512525.2186889034,154245.6909677731,1.03060617,57.51659542
0.337000,6354113.4968423294,6512525.2186889034,158411.7218465740,1.05844187,57.54443113
0.338000,6349953.6932144770,6512525.2186889034,162571.5254744263,1.08623596,57.57222522
0.339000,6345800.1028855527,6512525.2186889034,166725.1158033507,1.11398854,57.59997780
0.340000,6341652.7119451566,6512525.2186889034,170872.5067437468,1.14169970,57.62768896
0.341000,6337511.5065244669,6512525.2186889034,175013.7121644365,1.16936953,57.65535879
0.342000,6333376.4727958757,6512525.2186889034,179148.7458930276,1.19699812,57.68298738
0.343000,6329247.5969730522,6512525.2186889034,183277.6217158511,1.22458557,57.71057483
0.344000,6325124.8653107267,6512525.2186889034,187400.3533781767,1.25213196,57.73812122
0.345000,6321008.2641043691,6512525.2186889034,191516.9545845343,1.27963740,57.76562665
0.346000,6316897.7796903141,6512525.2186889034,195627.4389985893,1.30710196,57.79309122
0.347000,6312793.3984453706,6512525.2186889034,199731.8202435328,1.33452575,57.82051500
0.348000,6308695.1067868704,6512525.2186889034,203830.1119020330,1.36190884,57.84789810
0.349000,6304602.8911723280,6512525.2186889034,207922.3275165753,1.38925134,57.87524060
0.350000,6300516.7380994493,6512525.2186889034,212008.4805894541,1.41655333,57.90254259
0.351000,6296436.6341058817,6512525.2186889034,216088.5845830217,1.44381491,57.92980416
0.352000,6292362.5657690857,6512525.2186889034,220162.6529198177,1.47103615,57.95702541
0.353000,6288294.5197062753,6512525.2186889034,224230.6989826281,1.49821716,57.98420642
0.354000,6284232.4825740950,6512525.2186889034,228292.7361148084,1.52535802,58.01134728
0.355000,6280176.4410687136,6512525.2186889034,232348.7776201898,1.55245882,58.03844808
0.356000,6276126.3819254404,6512525.2186889034,236398.8367634630,1.57951965,58.06550890
0.357000,6272082.2919186857,6512525.2186889034,240442.9267702177,1.60654059,58.09252985
0.358000,6268044.1578618940,6512525.2186889034,244481.0608270094,1.63352174,58.11951099
0.359000,6264011.9666072056,6512525.2186889034,248513.2520816978,1.66046318,58.14645244
0.360000,6259985.7050455976,6512525.2186889034,252539.5136433057,1.68736500,58.17335426
0.361000,6255965.3601063751,6512525.2186889034,256559.8585825283,1.71422729,58.20021655
0.362000,6251950.9187573548,6512525.2186889034,260574.2999315485,1.74105013,58.22703939
0.363000,6247942.3680046294,6512525.2186889034,264582.8506842740,1.76783362,58.25382287
0.364000,6243939.6948922984,6512525.2186889034,268585.5237966049,1.79457783,58.28056709
0.365000,6239942.8865024764,6512525.2186889034,272582.3321864270,1.82128286,58.30727211
0.366000,6235951.9299550755,6512525.2186889034,276573.2887338279,1.84794878,58.33393804
0.367000,6231966.8124077739,6512525.2186889034,280558.4062811295,1.87457570,58.36056495
0.368000,6227987.5210556919,6512525.2186889034,284537.6976332115,1.90116368,58.38715294
0.369000,6224014.0431314390,6512525.2186889034,288511.1755574644,1.92771283,58.41370208
0.370000,6220046.3659049133,6512525.2186889034,292478.8527839901,1.95422321,58.44021247
0.371000,6216084.4766830616,6512525.2186889034,296440.7420058418,1.98069492,58.46668418
0.372000,6212128.3628099654,6512525.2186889034,300396.8558789380,2.00712805,58.49311730
0.373000,6208178.0116664637,6512525.2186889034,304347.2070224397,2.03352266,58.51951192
0.374000,6204233.4106701761,6512525.2186889034,308291.8080187272,2.05987886,58.54586812
0.375000,6200294.5472753365,6512525.2186889034,312230.6714135669,2.08619673,58.57218598
0.376000,6196361.4089726591,6512525.2186889034,316163.8097162442,2.11247634,58.59846559
0.377000,6192433.9832891366,6512525.2186889034,320091.2353997668,2.13871778,58.62470703
0.378000,6188512.2577880342,6512525.2186889034,324012.9609008692,2.16492113,58.65091039
0.379000,6184596.2200686624,6512525.2186889034,327928.9986202409,2.19108648,58.67707574
0.380000,6180685.8577662716,6512525.2186889034,331839.3609226318,2.21721391,58.70320317
0.381000,6176781.1585519463,6512525.2186889034,335744.0601369571,2.24330350,58.72929276
0.382000,6172882.1101324186,6512525.2186889034,339643.1085564848,2.26935534,58.75534460
0.383000,6168988.7002500230,6512525.2186889034,343536.5184388803,2.29536950,58.78135876
0.384000,6165100.9166824901,6512525.2186889034,347424.3020064132,2.32134607,58.80733533
0.385000,6161218.7472428354,6512525.2186889034,351306.4714460680,2.34728513,58.83327438
0.386000,6157342.1797792874,6512525.2186889034,355183.0389096159,2.37318675,58.85917601
0.387000,6153471.2021751106,6512525.2186889034,359054.0165137928,2.39905103,58.88504029
0.388000,6149605.8023484489,6512525.2186889034,362919.4163404545,2.42487804,58.91086730
0.389000,6145745.9682522845,6512525.2186889034,366779.2504366189,2.45066786,58.93665712
0.390000,6141891.6878742548,6512525.2186889034,370633.5308146486,2.47642057,58.96240983
0.391000,6138042.9492364889,6512525.2186889034,374482.2694524145,2.50213626,58.98812552
0.392000,6134199.7403956801,6512525.2186889034,378325.4782932233,2.52781500,59.01380426
0.393000,6130362.0494425818,6512525.2186889034,382163.1692463215,2.55345687,59.03944613
0.394000,6126529.8645023629,6512525.2186889034,385995.3541865405,2.57906195,59.06505121
0.395000,6122703.1737340903,6512525.2186889034,389822.0449548131,2.60463032,59.09061958
0.396000,6118881.9653308382,6512525.2186889034,393643.2533580652,2.63016206,59.11615132
0.397000,6115066.2275194144,6512525.2186889034,397458.9911694890,2.65565725,59.14164651
0.398000,6111255.9485603627,6512525.2186889034,401269.2701285407,2.68111596,59.16710522
0.399000,6107451.1167477779,6512525.2186889034,405074.1019411255,2.70653828,59.19252754
0.400000,6103651.7204092406,6512525.2186889034,408873.4982796628,2.73192428,59.21791354
0.401000,6099857.7479055673,6512525.2186889034,412667.4707833361,2.75727405,59.24326330
0.402000,6096069.1876308741,6512525.2186889034,416456.0310580293,2.78258764,59.26857690
0.403000,6092286.0280122990,6512525.2186889034,420239.1906766044,2.80786516,59.29385442
0.404000,6088508.2575099980,6512525.2186889034,424016.9611789053,2.83310667,59.31909592
0.405000,6084735.8646169510,6512525.2186889034,427789.3540719524,2.85831224,59.34430150
0.406000,6080968.8378588734,6512525.2186889034,431556.3808300300,2.88348196,59.36947122
0.407000,6077207.1657941304,6512525.2186889034,435318.0528947730,2.90861590,59.39460516
0.408000,6073450.8370135780,6512525.2186889034,439074.3816753253,2.93371415,59.41970340
