pool_id,pool_ticker,declared_pledge_ada,active_pledge_ada,active_stake_ada,third_party_delegation_ada,third_party_delegation_vs_declared_ada
pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9,,0.0,0.0,28840311.622564,28840311.622564,28840311.622564
pool12mca6l778v2e5wq5a4kc08h6grcv9j6f7yykt9wyjttckfxksvg,,500.0,1014.271248,1014.271248,0.0,514.271248
pool12mmcc4rc2fzfv7gyv8h06nvnsrm3m7erzdv8x6gzvjxlu2lf09n,1PCT3,50000.0,60812.148607,13287132.57218,13226320.423572998,13237132.57218
pool12mvua605f7w2gs90d580ywzyyf96je0y5q6zwcz2l76tcdqa8y9,,500.0,507.423329,507.423329,0.0,7.423329000000024
pool12n6lycv28kjtkzecfz2a3uujyxy6ewuwjcmjq84my67psqmgagv,MANT,100000.0,102162.163857,1419735.920231,1317573.756374,1319735.920231
pool12ndf7w5f4fdn746s5zlay4aexvcsjncnnmjwfp8falascjqav3y,SAMON,3000.0,41152.163133,528154.948533,487002.78539999994,525154.948533
pool12nhydvz643puda5jjc7hxyphk9685n8tlsgeenfvtttckd803e5,,0.0,1.434673,581.187987,579.753314,581.187987
pool12p0qtp89dfzr6spqq4xl6ha2s9m8lqydnvfafyd0h38fy0hfv3f,PANDA,20.0,41.88023,45059.513161,45017.632931,45039.513161
pool12pk63q22re4up2dg86tyjwthuauqu0ryq3jlxs9v29zk68cpugl,0AKN0,5000.0,8007.615571,189140.724848,181133.109277,184140.724848
pool12plmfgtqk4nj0wse5wnr49xth22fjacxm0gxg3wc88ewzztpwf5,AMPLE,100.0,0.0,3707.804452,3707.804452,3607.804452
pool12pupdkq80hxxcje94kjgc75x9vsqsgaz65upnmx7k7zmvc3rpd5,,1000.0,0.0,0.0,0.0,-1000.0
pool12pvaxxcv3sgad5jqgfnggn337y76kp02uauptkufjjjes7nxwfm,SVRN,144777.0,144877.264385,812448.451732,667571.187347,667671.451732
pool12pwp8hln0cjsxv0h2a0463qsakkhwetfhyqw7vzmpwd2jdj86n6,KAP,200000.0,248053.793409,823870.099593,575816.306184,623870.099593
pool12qj3qpa2ca3jq8nj6p5psjrx7xu7dvjm25xra5s0sxxps4qx7c8,,1000.0,24.517029,24.517029,0.0,-975.482971
