pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,fixed_cost_ada,margin,declared_pledge_met,f_ada_a0_0p3,pi_ada_a0_0p3,U_ada_a0_0p3,coverage_ratio_a0_0p3,category_a0_0p3,f_ada_a0_0p6,pi_ada_a0_0p6,U_ada_a0_0p6,coverage_ratio_a0_0p6,category_a0_0p6,delta_U_ada,delta_r
pool10ljdn3zwsh7vjkxf6t250423l5qy487x83st7m8a53jxznrkw5g,,127062.59889,1200000.0,5020.24725,340.0,0.005,False,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0
pool10mf43thtl3keag50mrlvqa78xkwg7harmu4w5yzr3k7jvw0ap43,JORGE,2927773.115288,200000.0,209406.623655,190.0,0.0,True,870.1620941979465,238.64804821807218,-502.463062893039,0.32201385816531475,losing_025_050,707.5175292371636,227.01502616918862,-514.0960849419225,0.3063171267650221,losing_025_050,-11.633022048883504,-0.01569673140029265
pool10n23qyec2zcetv0e3x7fdjydscsrlet5sph2hgtfc7x5ze56jqn,DOTAR,901698.759103,5000.0,56818.583109,170.0,0.0,True,267.8049932267409,176.1629685968038,-564.9481425143074,0.23770115702717154,losing_lt_025,217.59574377631452,172.99914211491145,-568.1119689961997,0.23343212579223432,losing_lt_025,-3.163826481892329,-0.004269031234937215
pool10n5e9hupkx0fs39fmhzpusdhd25vh6twxyq2n5dncegpkumhuz5,,0.0,1495.0,0.0,340.0,0.045,False,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0
pool10nug2zc80t6tz64awqr0362kfsh6yvje6xz2a6appzhzwe25nc5,,0.0,12000.0,0.0,340.0,0.0,False,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0
pool10nwac5phcc4vkjvux5mw6gvdzlxurkd944e5yx9yyfa8sqs35t7,,36120.987876,0.0,2.0,340.0,0.02,True,10.727745475784852,10.727745475784852,-730.3833656353263,0.01447521878291809,losing_lt_025,8.716293199075192,8.716293199075192,-732.394817912036,0.011761115261120947,losing_lt_025,-2.011452276709747,-0.0027141035217971426
pool10p3g22454ly7eaurlur5wc9d9ual2fnfwy7a6e7k09z3yf929k9,OUROS,6076311.463663,2500.0,340422.257946,340.0,0.0149,True,1804.65034331464,442.65694161809915,-298.45416949301205,0.5972882270708983,losing_050_075,1466.2925831091275,418.94153882999063,-322.16957228112057,0.5652884332038853,losing_050_075,-23.71540278810852,-0.031999793867013016
pool10p6wd9k0fwk2zqkqnqr8efyr7gms627ujk9dxgk6majskhawr6r,BBHMM,7036434.076718,550000.0,551023.40242,340.0,0.01,True,2093.9158354284605,493.51487759678173,-247.59623351432947,0.6659121286913096,losing_050_075,1704.663478284799,459.44481177371426,-281.66629933739694,0.6199405256316983,losing_050_075,-34.070065823067466,-0.04597160305961123
pool10p7hdyghmkfuuxep4slslvjs2fk0hechqwadc2348e6g2x8hta6,SBPIO,360.524775,100.0,5.893313,345.0,0.15,False,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0
pool10pd44d65586rldtdzuu88e7mn4sxjctvdksmt05nnqfzqu7g7hd,RDB,3460141.27996,1000.0,1439.881162,340.0,0.01,True,1027.6479338312756,347.1597712370075,-393.9513398741037,0.4684314754322439,losing_025_050,834.9671762880538,345.1535845273397,-395.9575265837715,0.46572447687347185,losing_025_050,-2.006186709667759,-0.0027069985587720446
pool10pktmr26fpvrt77j7m5mchqlt0mjmmfvt7ruvdewkcpasp0nzkl,IOGP,0.0,64000000.0,0.0,500.0,1.0,False,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0
