pool_id,pool_name.ticker,pool_name.name,sigma_ada,pledge_ada,sigma_over_T,pledge_over_T,R_ada,T_ada,z0_ada,k,f_a0_0.1,f_a0_0.3,f_a0_0.3_plus_1pct,f_a0_0.3_plus_10pct,f_a0_0.3_plus_25pct,f_a0_0.3_plus_50pct,f_a0_0.3_plus_75pct,f_a0_0.3_plus_100pct
pool10eltx2wej46e62ulmwzm35xfu0azu47yvpjper7gwhncqe74vg6,CHIL,Chile_Stake_po,11309160.587532,37477.294161,0.000291744221,0.000000966808,14966501.840557,38763957566.434639,77527915.132869,500,3969.6371728385,3359.2475701915,3351.5181546553,3283.5225442992,3176.1306893974,3011.9569342027,2863.9314172239,2729.7832924619
pool10emzedn7jczjrk7x7687mzwpqs2qfk8dnmyuf3ca7ju8cx79z57,MPL,miPool,39.460040,38.297271,0.000000001018,0.000000000988,14966501.840557,38763957566.434639,77527915.132869,500,0.0138502314,0.0117194266,0.0116924441,0.0114550787,0.0110801852,0.0105070722,0.0099903309,0.0095220342
pool10ez5uusmzx7ep6pee6hmqr79z5ee0lhgzdelzgptexh9xq3ar4e,SACT,Super Actuarial Stake Pools,291.472771,101.008551,0.000000007519,0.000000002606,14966501.840557,38763957566.434639,77527915.132869,500,0.1023051592,0.0865659187,0.0863666113,0.0846133061,0.0818441465,0.0776108336,0.0737939120,0.0703348269
pool10f5k6djk7m95dls80f5n2temjlkacsqd47758z2xal8g79kg9ct,,,3072.467418,1.831463,0.000000079261,0.000000000047,14966501.840557,38763957566.434639,77527915.132869,500,1.0784171751,0.9125068448,0.9104059081,0.8919239842,0.8627337457,0.8181095879,0.7778746915,0.7414118166
pool10fsg5ykzcjuzq5fzm9vj6d3yd0jjqgg6qnza6u8wtq0677vam2t,,,97.023027,97.023027,0.000000002503,0.000000002503,14966501.840557,38763957566.434639,77527915.132869,500,0.0340544859,0.0288153342,0.0287489904,0.0281653643,0.0272435887,0.0258344376,0.0245638915,0.0234124591
pool10fxpa6wkv0wc6wcmahcnz4wvvfx9m7547sevxrge3nfuv7yh8m0,GRANA,GranADA Pool,4262012.487617,35562.995523,0.000109947816,0.000000917424,14966501.840557,38763957566.434639,77527915.132869,500,1496.0082574927,1265.9683523932,1263.0553374783,1237.4295671741,1196.9563808633,1135.0835788021,1079.2966261239,1028.7397002593
pool10gtnlhevam52ynwuzua7dqgv7vje4q87q25dzzfrjgw3wwjk2xw,STKCH,STKCH,597.470252,173.993722,0.000000015413,0.000000004489,14966501.840557,38763957566.434639,77527915.132869,500,0.2097084182,0.1774456411,0.1770370948,0.1734431161,0.1677668080,0.1590892334,0.1512651908,0.1441746522
pool10h9j9hazmtszyfyty7e6vj3usr6v0jdzvraqcxxs27rtqp7hsgc,,,0.000000,0.000000,0.000000000000,0.000000000000,14966501.840557,38763957566.434639,77527915.132869,500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
pool10hex9l4wjgqarvhr94xgyh9frv5lhtajhrj4dah0kl65jtws30k,CSN1,Cardanoscan Pool 1,13562150.580139,23328.311214,0.000349864963,0.000000601804,14966501.840557,38763957566.434639,77527915.132869,500,4760.3744993026,4028.2512476913,4018.9803085880,3937.4239270027,3808.6142722080,3611.6983631539,3434.1512320396,3273.2491444672
pool10jd7mphm0mmrnfvyytzs3tfrmjmtkvalfx8nql7tae06v0rkjk3,DOS,Dos Stake Pool,23038.755606,1557.175541,0.000000594334,0.000000040171,14966501.840557,38763957566.434639,77527915.132869,500,8.0864767075,6.8424289970,6.8266755149,6.6880922510,6.4692146839,6.1346087480,5.8329148713,5.5595047956
