pool_id,pool_name.name,pool_name.ticker,pool_name.description,active_stake,live_stake,pledged,live_pledge,blocks.epoch,delegators,epochs.0.no,epochs.0.data.epoch_stake,epochs.0.data.delegators,epochs.0.data.block.minted,epochs.0.data.reward.member_lovelace,epochs.0.data.reward.leader_lovelace,pool_update.active.margin,pool_update.active.fixed_cost,pool_update.active.pledge,saturation,f_reward_ada_a0_0.3,f_reward_ada_a0_0.303,f_reward_ada_a0_0.33
pool15r7xg0vrrv2yu8wj3866eap8ftkuxvdk5rjz2lh4xajjq5v3p5d,Nu.Fi & AdaLite 0,NUFI0,Nu.Fi & AdaLite 0,7924254649259,,1002829501,,8,768,644,7924254649259,768,8,1956072714,400752496,0.03,340000000,1000000000,,2353.4715356562,2348.0530430270,2300.3866041087
pool15s7w4spg5ee7n7rprhs0dq78plw2mhjkpu5v97uvl27gz2way7z,Balance Stake Pool,BALNC,Balance Stake Pool exists to support the Cardano decentralized network by promoting blockchain data transparency for all.,72966563938869,,112116225677,,73,882,644,72966563938869,882,73,21311415999,202854411,0,170000000,100000000000,,21680.0906793682,21630.2686827762,21191.9849533571
pool15t0vyldspax6eu8mq7f50s4rjk2qn2g7kudl98tjuqzt2a2zpmx,RockX Emerald,RXE,"Institutional-grade blockchain nodes so you can build, scale and stake with ease.",10276968,,2622710,,0,1,644,10276968,1,0,0,0,0.02,340000000,100000000,,0.0030522061,0.0030451787,0.0029833593
pool15tn0nlazaatulwq667qdfs597pqlrgn62at0fqv3lvz5cg9l30m,,,,70473160,,42456901,,0,2,644,70473160,2,0,0,0,0,340000000,1350000000000,,0.0209301632,0.0208819741,0.0204580544
pool15ttu2vykfdfdxv7vve93l3dvk6tlrcegz7r6749syys4us2k3tu,GenieStakePool,GENIE,Staking For Decentralized World! Make It Happen,432075956,,101031739,,0,2,644,432075956,2,0,0,0,0,345000000,100000000,,0.1283243494,0.1280288985,0.1254298190
pool15txd36fltfgc63qq0yxtpqt88eu76s0yhugn9a6q7f4zspq6k5f,ArmADA StakePool,ARM1,"Canadian stake pool verified from ITN with low fees, high reliability and security. Stake with us and help Cardano become decentralized.",12742922932891,,953711662630,,10,642,644,12742922932891,642,10,2510881507,436270747,0.0199,170000000,100000000000,,3797.6751549364,3789.0620988806,3713.2931095177
pool15uuf0sz5w0kp50wmflxml8ffnz880402nvj54e40e7l8x06y5e6,MEAPOOL,MEA,MEA is committed to bring the blockchain and crypto revolution to the Middle-east and Africa through the cardano ecosystem. Join us in reshaping the future of our region's economy.,42864872750,,24124751914,,0,17,644,42864872750,17,0,0,0,0.02,340000000,20246000000,,12.7311641412,12.7018573621,12.4440458468
pool15v22rpfg6qx9l0gx0m955gfv7tes0jpa9sy0gjs3a04lv6x9jdr,Ledger by Figment 1,LBF1,a cardano mainnet pool,63038323964097,,9820727,,62,6075,644,63038323964097,6075,62,17003894962,1255722600,0.06,170000000,2000000,,18722.0549650429,18678.9497036108,18299.7530428929
pool15wfu7td5r4k27erk5q5wt06x59skxxyqj206tdnfmfmk7pd3rp3,,,,34697003525,,132778425,,0,8,644,34697003525,8,0,0,0,0,340000000,123000000,,10.3048348063,10.2811092224,10.0723954390
pool15wj590e6gsmpmttrxjd0emck09a0h9tazd2ww77q6duyvg8lyum,Husky pool,HUSKY,"Making Cardano accessible to farmers, grandmas & even furry animals",2189484629892,,37322277692,,0,684,644,2189484629892,684,0,0,0,0.03,340000000,10000000000,,650.3579006171,648.8614516022,635.6972008696
pool15wk0wjrau5pv6rp6w34g3mjxqejkfj3yak0xa9m63upcxx63myh,MCA,MCA,mcwhirter.com.au,68739044088,,14090607815,,0,7,644,68739044088,7,0,0,0,0.05,345000000,1000000000,,20.4160236255,20.3690270301,19.9555983332
pool15wkxegrfflzcyhurrjxsm9ljqtz09xr5rtnqsarnp7hmsz5um3t,Stake Shark #1,STSH1,"Industry Leader. Trusted by 200,000 delegators since 2019. Over $200 million in staked assets across 30+ networks.",18751658367020,,44560039629,,21,12640,644,18751658367020,12640,21,5244856488,941656908,0.1,345000000,1000000000,,5570.1035260297,5557.2885993631,5444.5557858298
pool15wpcswzd758g6ym0g4x3mx6y6hm3acvx2d0uq3y3z6xnj0eajkg,,,,0,,9823059,,0,0,644,0,0,0,0,0,0.01,345000000,1000000000,,0.0000000000,0.0000000000,0.0000000000
