pool_id,ticker,sigma_ada,declared_pledge_ada,declared_pledge_bin,active_pledge_ada,declared_pledge_met,margin,fixed_cost_ada,f_ada_a0_0p3,member_apr_a0_0p3,f_gt_c_a0_0p3,f_ada_a0_0p6,member_apr_a0_0p6,f_gt_c_a0_0p6,delta_member_apr
pool1jpz5m45ff4r6tnq7n5tw63fkhpmw3cyv8sn569w24x8lj3kl68c,ADP,3825716.383137,10000.0,low_lt_100k,11853.701975,True,0.01,170.0,1136.2617196211352,0.018253243963620488,True,923.2482814410245,0.01422929664616318,True,-0.004023947317457309
pool1jq3s8emkm332n7vd3n57amjzspvt3hygh4wqsyp33psugvw7zc0,OWL,502.300231,500.0,low_lt_100k,502.300231,True,0.01,340.0,0.14918055665877505,0.0,False,0.12120920336069926,0.0,False,0.0
pool1jq7083uth03spzhg5ag6gfgg24ux6fjuhng8vj2wdz8jkukqvcl,,22653.96907,400.0,low_lt_100k,406.436573,True,0.075,345.0,6.728121184183945,0.0,False,5.466606774141393,0.0,False,0.0
pool1jq7r3evstu2c040vlry8tgvpwf0mfvft86cxecwjpwcuvvqfu2r,CCV3,29819532.779897,500.0,low_lt_100k,503.091338,True,0.03,340.0,8856.263231023842,0.020222872163689256,True,7195.727797209728,0.016279734793420115,True,-0.003943137370269141
pool1jqdvgk0csfnwftkzn6vyz7fq8s3606uu6k7wa9xrn0jpzg4r304,,4780.56692,25000.0,low_lt_100k,9138.6054,False,0.0,340.0,0.0,0.0,False,0.0,0.0,False,0.0
pool1jqfk2y5wked4sjpx9sqxn6dmut8hq2n9qlreymqtpxuc5l38fl0,,1327.56167,1000.0,low_lt_100k,0.0,False,0.02,340.0,0.0,0.0,False,0.0,0.0,False,0.0
pool1jql92je87mrx5gpjhmwr6a8a766cktcf5p0p8wd0wxq87nu80yf,DIGI5,2595332.237924,215000.0,mid_100k_to_1M,215031.175261,True,0.04,170.0,771.3901004433695,0.01623892988466993,True,627.2337733373784,0.012346374143263658,True,-0.003892555741406272
pool1jqnywskl2n92fx65thtew8zlj3vqfrqxz7zyj70tt7d3qmn0m9t,BNP,64425.701712,2.0,low_lt_100k,19112.350917,True,0.06,345.0,19.134098374786674,0.0,False,15.546455049826754,0.0,False,0.0
pool1jqw9cv37w0eewvdr36w2kacd2w9wh5uwm2y3vmc0fmdfc0ax26l,LIX,538461.75556,80000.0,low_lt_100k,81388.0,True,0.02,170.0,159.9625418087431,0.0,False,130.00385419311786,0.0,False,0.0
pool1jqxp8hn0ywdrg3clzha9c2u7qh3zsh68u55wh50vdmecupc5rxs,,1729.297269,2000.0,low_lt_100k,50.0,False,0.01,340.0,0.0,0.0,False,0.0,0.0,False,0.0
pool1jrsmda62uar63wrndmdg3jupdtmmtsxmnqt66r3mm33wj2fd2yh,,509.766415,500.0,low_lt_100k,509.766415,True,1.0,340.0,0.15139797875339553,0.0,False,0.12301086229841364,0.0,False,0.0
pool1jrst9acplgqk95469zu68xv5xj802lqxe682jjsd39z26ddj8ur,8888,7.952568,8000.0,low_lt_100k,3.994995,False,0.0088,340.0,0.0,0.0,False,0.0,0.0,False,0.0
pool1js3l2kgut64prz0q0a8px7qtyduclfm3h2kuvrl5gfzmy0waxyt,Gunda,1.293033,50000.0,low_lt_100k,0.0,False,0.0,340.0,0.0,0.0,False,0.0,0.0,False,0.0
pool1js570lkcs6t3pwsj3eda0zz43mc5gm922ae5rdxcfn84gu5uyrg,ASSET,1605623.775754,150000.0,mid_100k_to_1M,193389.110198,True,0.02,340.0,477.11337337821425,0.006109208694839551,True,387.8589315174154,0.0021323973974837714,True,-0.003976811297355779
pool1jsala5rdc0hjewcvu9dujcz8jpfxp7hadqr3r3hzs63skhhtpqs,BNP,45246.469228,2.0,low_lt_100k,44227.399495,True,0.06,345.0,13.437966065008592,0.0,False,10.918347512314455,0.0,False,0.0
pool1jslaut45plz6ek7grjyzxz6kzgerr7p5204h9sprh3msw6d8yht,,1034710.513268,60000.0,low_lt_100k,92194.968012,True,0.01,340.0,307.370905236635,0.0,False,249.79351412210366,0.0,False,0.0
pool1jst7rrhucnp93hepezv5yqy6fx982xs2v0udwfc5ea6my3kfak7,ESTK,33963504.036896,1000.0,low_lt_100k,1496.390498,True,0.04,400.0,10087.023031801067,0.019988119404026665,True,8195.737926582135,0.01608565810233772,True,-0.003902461301688944
pool1jsxk3ymqv2gdc6mhqk52544g2aun4zhq5wgx6n32l5s3jlne70n,AKYO,2352849.572721,1000.0,low_lt_100k,7346.609902,True,0.02,170.0,698.7867850233961,0.016078123752223217,True,567.7664589233848,0.012094361153089013,True,-0.003983762599134204
pool1jt7d6ak3m8gnjyxtuxfswe258xzwda80ndl0a57vv5m2zv8h6at,CARDs,12252834.60776,1000.0,low_lt_100k,1469.696915,True,0.029,340.0,3639.0422123143526,0.01908505391784022,True,2956.733237928572,0.015137876911079913,True,-0.003947177006760309
pool1ju00mkurj9t920staddyd3ln9r98kktx38jrer0zp82eg8x36jf,,114.848902,5.0,low_lt_100k,114.848902,True,0.02,340.0,0.03410952701125095,0.0,False,0.027713991209504095,0.0,False,0.0
pool1ju8f57hyvaa32tp85r468kuedvmjmcy56f8u9968drea57p50l5,AICHI,71350410.441342,100000.0,mid_100k_to_1M,143984.045261,True,0.005,340.0,21198.899675357785,0.02123444236056894,True,17230.76765958058,0.01719486827566678,True,-0.004039574084902159
pool1jufp9k6gmyusvch65ra8yk2s7wu6cx5fsgnltl83p93ejg6h3xg,FUND,13726138.481618,500000.0,mid_100k_to_1M,668044.341601,True,0.0,495.0,4084.2426107288525,0.01908874159575874,True,3324.6634721241194,0.015049056494781287,True,-0.004039685100977453
pool1jv4yvr5edp7qp690hk3qfudwmw28n2wygjxyhaecqkzeqh0wlem,WEED,1777215.275589,420.0,low_lt_100k,1758.51381,True,0.042,170.0,527.8245483253229,0.014080512533457552,True,428.8581423404029,0.010186152220886178,True,-0.0038943603125713745
pool1jv9pf6w2fmjqpaekyt74tjkmjxhma8wsqs8ur3dte45tqdxe3t0,ICP1,104290.789486,0.0,low_lt_100k,63.626322,True,0.03,340.0,30.973821893111584,0.0,False,25.166230288153162,0.0,False,0.0
pool1jvknf3dwtnqln5hcjrh5m7s979revuj5dlxr0337nwmm6p7250q,SQQQ,7268524.531946,100.0,low_lt_100k,8944.134387,True,1.0,170.0,2158.714806014613,0.0,True,1753.9564585843061,0.0,True,0.0
pool1jwgt6tydz6f4kw7la2hxxqwzq0m8spj3reyju08nm07xjnlg3d0,,381.025852,0.0,low_lt_100k,2.260736,True,0.075,340.0,0.11316269571536201,0.0,False,0.09194469026873164,0.0,False,0.0
pool1jwpt6qmmkvfusvwan4f9pfhn7pljsm33lcqf7ftya3mtc0fs2nz,,144.698748,100.0,low_lt_100k,144.698748,True,0.01,340.0,0.0429747804819444,0.0,False,0.03491701331538847,0.0,False,0.0
pool1jx4ss2zjage3cw0wht3450328y82yeprmq4fr3e2qtac2rhezkv,ZZZ5,19863880.588346,50000.0,low_lt_100k,55984.034749,True,0.05,340.0,5900.608475368547,0.01941353785589378,True,4795.170055006541,0.01555416334389222,True,-0.0038593745120015614
pool1jxv3my3c70e8pfr0cgm6esatehey2ml3v0qk8x236aw32eu0fcy,COINZ,882588.313149,100000.0,mid_100k_to_1M,235436.543232,True,0.01,250.0,262.2142065142782,0.0010001500038420103,True,213.12222407568797,0.0,False,-0.0010001500038420103
