pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,margin,fixed_cost_ada,pledge_met,unsaturated_k1000,f_base_k500_c_declared,D_base_k500_c_declared,f_A_k1000_c_declared,D_A_k1000_c_declared,f_B_k1000_c170,D_B_k1000_c170,f_C_k500_c75,D_C_k500_c75,f_D_k1000_c75,D_D_k1000_c75
pool14hhs6ruwnuaf4fzsmx89mvmjl2qhyy5jnzyk2le03886kj6z9yp,OKYM,3247339.873911,1000.0,4225.788268,0.01,300.0,True,True,964.4467787935442,0.00020256651183646237,964.4505097723975,0.0002025676492810195,964.4505097723975,0.00024220008844575574,964.4467787935442,0.00027116111808312126,964.4505097723975,0.0002711622555276784
pool14hk8kx2c8ukxcq7z3tqdedly9599f9sfhy5lfd3mp98txkdeevk,RDC,41277.291511,10000.0,10428.762752,0.01,170.0,True,True,12.259500342520424,0.0,12.259859978269864,0.0,12.259859978269864,0.0,12.259500342520424,0.0,12.259859978269864,0.0
pool14hp04q89xy58gh9jjvfra5x8lfzd7jes3jljwcjrh0rcjqkss7y,CCOOP,201.302353,100.0,0.0,0.15,345.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool14hpc9wgnwy0w3jrlcqwftyufm8xs5qena4sax5hx7e5q703uuml,,18.816176,1000.0,18.816176,0.025,340.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool14hsxa2zfwzvy9ncdjwnx0xkcltjmdydeayxfju7suuuewv0dnke,KROM,271070.64205,50000.0,51430.621763,0.0,170.0,True,True,80.51928365784256,0.0,80.53201699269916,0.0,80.53201699269916,0.0,80.51928365784256,2.0361052809343003e-05,80.53201699269916,2.040802703997268e-05
pool14kd9lt3gsdhv48j9w4vgcufw0txdvz932xwh9dapkpv2c0j4ytd,FRNTR,26046.378685,16000.0,17732.658391,0.0199,340.0,True,True,7.73582379089399,0.0,7.736008819158593,0.0,7.736008819158593,0.0,7.73582379089399,0.0,7.736008819158593,0.0
pool14kddecyyn0vjm07kr7vctnqnn3dt668dna63epdly220z4kgss7,CUAN,0.0,100.0,0.0,0.01,340.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool14klr0hf5chszxhqt72nqxl57q4eemz0ys83pcpnc8nmy68fx5vc,BPT,632.644176,100.0,0.0,0.15,345.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool14lr9ef5a22ng5xcu2rhpkkc86u5fp24r5gnj6hvnjxmsv8t8rtj,FRUIT,17662.245764,310.0,321.018354,0.031,170.0,True,True,5.245601284174566,0.0,5.245607466255377,0.0,5.245607466255377,0.0,5.245601284174566,0.0,5.245607466255377,0.0
pool14mfq8s3gspe8sdka6cgkm6jzgd644dvw2av5kqa8w4havs9e57u,,25260.930066,10000.0,25260.930066,0.0,340.0,True,True,7.5025402295189405,0.0,7.502715727076976,0.0,7.502715727076976,0.0,7.5025402295189405,0.0,7.502715727076976,0.0
