pool_id,ticker,sigma_ada,fixed_cost_ada,pledge_met,unsaturated_k500,D_base_a0_0p3_c_declared,D_A_a0_0p6_c_declared,D_B_a0_0p6_c170,D_C_a0_0p3_c75,D_D_a0_0p6_c75,f_base,f_A,f_B,f_C,f_D
pool1aksxtgqz36vtvnf3rrgrzz9qxrvjv4p2ukqcdyv5q66s5eqhql9,,6.444552,345.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0019139984155138881,0.0015551237126050375,0.0015551237126050375,0.0019139984155138881,0.0015551237126050375
pool1al5vg7cqtfs5mqgd5uyyx09z9hvsxqnh26lr42t920y5qnvq7aq,ROUTE,1252.315408,345.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool1al783um2muyhrpcj779y46z0qtnd0nteu0y5jt7252nl26dt0h0,GOLGI,108000.371031,340.0,True,True,0.0,0.0,0.0,0.0,0.0,32.076674735294375,26.063213440968916,26.063213440968916,32.076674735294375,26.063213440968916
pool1alseugmsr68dn8mlen92jqgdc6nm4f3dvqyc8m55fgl967ytyua,,76824819.233615,340.0,True,True,0.0,0.0,0.0,0.0,0.0,29535.801265852937,29457.212613432985,29457.212613432985,29535.801265852937,29457.212613432985
pool1alukhlxd53jat03vgt5h4dxxqyaapzefhk9yrl40e4r3x5cr5au,,3.991496,340.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0011854535458058228,0.0009631810059672311,0.0009631810059672311,0.0011854535458058228,0.0009631810059672311
pool1am69d5jfzgjepwhseryw59j0lspn0c0307shw3v2cvfq77gvnrh,BIDA,126923.599625,340.0,True,True,0.0,0.0,0.0,0.0,0.0,37.69566332986265,30.627738297811717,30.627738297811717,37.69566332986265,30.627738297811717
pool1anxttanf5g4cjgagns6cf084wq6x9k2pfygjdjyk3swf77wj2ax,FGMTM,2858604.422914,170.0,True,True,0.00021377269704223221,0.00016365482498255146,0.00016365482498255146,0.0002436823967945481,0.0001935645247348674,848.9906414035329,689.8048961403758,689.8048961403758,848.9906414035329,689.8048961403758
pool1ap0mx7frdu2mhk6f8rp3psy6wkd8t560dgh0cwnlxxfswtqjg9v,,244.646977,340.0,True,True,0.0,0.0,0.0,0.0,0.0,0.07265889598985786,0.05903536649834806,0.05903536649834806,0.07265889598985786,0.05903536649834806
pool1ap29p59japhsunqkknkrdm4wh4f8krrvhft66zhns43evawjd03,SNOW,6304.620604,340.0,True,True,0.0,0.0,0.0,0.0,0.0,1.8724395189102652,1.5213571091145905,1.5213571091145905,1.8724395189102652,1.5213571091145905
pool1ap4k28jflxcyekms0rjp39ruuydrvwrek2ca267w8mwyvknpx87,,127355.289384,340.0,True,True,0.0,0.0,0.0,0.0,0.0,37.82702103426502,30.737024257301332,30.737024257301332,37.82702103426502,30.737024257301332
pool1ap5sw2p7erpvegveucua66gy50cadjvq72apar0hvzrdv8s27nl,ELEV8,6737.303755,340.0,True,True,0.0,0.0,0.0,0.0,0.0,2.0009441636758836,1.6257671329866554,1.6257671329866554,2.0009441636758836,1.6257671329866554
pool1ap6fj6xllhlc3xuuq7uvz0ed2wjws08f7h680xcgq47qk2pvnme,,0.0,340.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool1apts5675m9f6tkp4ed2jeu35azt7a0hxd3dypzjvwr2hxu6lg9a,ANON,3943.453987,340.0,True,True,0.0,0.0,0.0,0.0,0.0,1.171185317888646,0.9515880707845249,0.9515880707845249,1.171185317888646,0.9515880707845249
pool1apupv5qtfp2aa2xlrzzjzx0uj686g3n695a329nq8j5jvvzumz0,RIDGE,2751157.784657,170.0,True,True,0.00023286194216598133,0.00017773936891354218,0.00017773936891354218,0.00026704754959442826,0.00021192497634198913,817.1110554952401,663.9283317439535,663.9283317439535,817.1110554952401,663.9283317439535
