pool_id,ticker,sigma_ada,pledge_met,unsaturated_k500,r_base,category_base,r_A,category_A,r_B,category_B,r_C,category_C,r_D,category_D
pool1gwnu7f7qgaruxph8gn3u28qphvquvnj63elyd3r0nndacj9g9pa,JAZZ2,18624300.931468,True,True,0.8441563130663554,losing_075_100,0.7672292943891773,losing_075_100,0.5504616039317555,losing_050_075,0.5062537367650802,losing_050_075,0.42932671808790207,losing_025_050
pool1gwyuzpvu9vhe2ge4qmg2qca8y0pzmzmwpu872vwzwse6shlespw,,0.0,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1gx6eawfvnhckevmlzhfz9j3uzj92j2wgww0mdd2fu5d4zd4wvaa,BSSP2,962741.783034,True,True,0.3200075976449758,losing_025_050,0.2781084408314186,losing_025_050,0.2781084408314186,losing_025_050,0.26607646807224133,losing_025_050,0.2241773112586841,losing_lt_025
pool1gyrvar6gwyad7u2rsryeg49dgqtsp99k4903knwj5eq9qmu5jlj,YOOU,486918.512034,True,True,0.1951890899883875,losing_lt_025,0.15863996440207434,losing_lt_025,0.15863996440207434,losing_lt_025,0.12104027949441527,losing_lt_025,0.11332489296821133,losing_lt_025
pool1gztqypddgmycs0fjat62k5f2kt4zjck4l4f2ffrsmagj2w8zkq3,SGEN,1938626.932338,True,True,0.5000751015742332,losing_050_075,0.48120189700366583,losing_025_050,0.2815731374025543,losing_025_050,0.18888909396073564,losing_lt_025,0.17001588939016837,losing_lt_025
pool1h04mh7qugt09hp8mhjpvfl4t0rutmz703dd003e6qeny5jf9c57,P2PFI,1077164.679322,True,True,0.26547895151947043,losing_025_050,0.25107650211848015,losing_025_050,0.25107650211848015,losing_025_050,0.16014130978628419,losing_lt_025,0.14573886038529393,losing_lt_025
pool1h0524mtazrjnzqh5e4u060jsfk8lpsqqjfpa5gygjwuhqu34wvt,JAZZ,19682050.336738,True,True,0.8655678226262163,losing_075_100,0.7846515999395081,losing_075_100,0.5678249646141205,losing_050_075,0.5275733616778182,losing_050_075,0.44665713899110987,losing_025_050
pool1h08araxldht60j00vp8lzllmwyevjwqd5zwyprc62536gk4s5ge,,18.737033,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1h0jfkyfqt729vxhq8ndxffcqn2afjhzzlwqecrvsufgu5sag0sj,RAID3,101530.8611,True,True,0.04069174231328866,losing_lt_025,0.03306529106051892,losing_lt_025,0.03306529106051892,losing_lt_025,0.04069174231328866,losing_lt_025,0.03306529106051892,losing_lt_025
pool1h0prd5vcdv6uk7hglztdcqfp5czjqxdydxkxkdhg8rrk22mr4ym,SIGN,555025.252348,True,True,0.22242312470357728,losing_lt_025,0.18071948687274475,losing_lt_025,0.18071948687274475,losing_lt_025,0.10145645553558828,losing_lt_025,0.10136802285868056,losing_lt_025
pool1h26acqctjzuzk04uxc35mt5eavnlr5wyaqavmdqhd3s2zr8v7nm,BABYL,1594.72739,True,True,0.0006390752333867395,losing_lt_025,0.0005192486470934427,losing_lt_025,0.0005192486470934427,losing_lt_025,0.0006390752333867395,losing_lt_025,0.0005192486470934427,losing_lt_025
pool1h2q3cyle9yrjv4g6qvwqyrm5vk9qj38gtqndvavpqf6lkgpqvj3,REACH,659.281602,True,True,0.00026420238755896875,losing_lt_025,0.00021466457056573476,losing_lt_025,0.00021466457056573476,losing_lt_025,0.00026420238755896875,losing_lt_025,0.00021466457056573476,losing_lt_025
