pool_id,ticker,sigma_ada,pledge_met,unsaturated_k1000,D_base_k500_a0_0p3,D_A_k1000_a0_0p3,D_B_k1000_a0_0p6,D_C_k500_a0_0p6,f_base,f_A,f_B,f_C
pool199a44nvtjr0c5xlanz4p5c0nywu8l6k5hz3t2he0hq7wvljnsrt,ALoop,918190.240234,True,True,0.0001118759388775044,0.00011190391548017954,5.625235014182293e-05,5.620688816247577e-05,272.72339519434007,272.7490830378713,221.65035889044748,221.6086161447092
pool19ae6xhzsscypyha0sszv90xwjsh20hxecxjpcqynshfawvwxqnn,GENE,4608870.711703,True,True,0.00025632568417404815,0.000257253045204821,0.00020370988344640332,0.0002022029217713975,1373.0264138971525,1377.3788447463414,1126.0819913447658,1119.0092912148339
pool19asxjgd6ah9ddzauwede4wpt9vsp6s4ax5nz297wt47evc9sn7z,,30088506.927409,True,True,0.0002817979622121575,0.0002910527975645905,0.0002470033769745114,0.00023196426952680778,9165.18133689345,9449.764042681605,8095.2609291681165,7632.814032262365
pool19at4pzt6ghethuls7ehr0v5x65cg7mj0zun79eenefa074yfcz8,,100007.457236,True,True,0.0,0.0,0.0,0.0,29.70385831227018,29.70603880297585,24.139686274101088,24.136142976704377
pool19c39hucr2p6ra4v6c5qwqt4zgc6ugchu7cs4yal7ndetsnrmzju,FAIL,0.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool19ccud9eawdghzqg8425g8upxqws9r64f35f3cvv3vpxdcl879cn,,0.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool19cfmy93acrj292lwhak0laxrlt88ndausl3fhdgq8pckxnxc6le,,0.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool19clgr0yxjs8pqmlsmfzu6hg5muy5ws2rze5hlesg0v7tvyhcgxh,ACUDA,57013.365555,True,True,0.0,0.0,0.0,0.0,16.933593258453882,16.934514621767793,13.760789487222349,13.759292271837248
pool19d5anp46tkzvf8xmqmxrtedr6lvw55snk65zfep2srsd2qe2wcc,ADAC2,38.907291,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool19ddv2pe786q8zqjzvw50u60y2aau7wl76sg3pnkc4j92wcx2kp2,NEXUS,4067.003192,True,True,0.0,0.0,0.0,0.0,1.2078823137886479,1.207885838702467,0.9814129718327429,0.9814072438477869
pool19dn4vmk5ayatdjshpnyvxy6w4fef0zfl585sfpls6l2wvn0xxjn,MJ23,38760.991338,True,True,0.0,0.0,0.0,0.0,11.512143360324162,11.512474066471553,9.354422483128769,9.353885085639261
pool19egsg4esywdpq8lk5e0r4c8se3mx6k68de2pt2d0fnrs7jntp6m,UPBIT,29572552.127621,True,True,0.0,0.0,0.0,0.0,8789.662904257415,8796.466750796602,7158.156991475948,7147.100740849769
pool19ejln2jcpg5dphc8m5nh8sya49sycsqj0v2cjxw6nku966cc8nu,POP,13600011.035604,True,True,0.00025844950036214506,0.0002585039943435301,0.00020566986952745892,0.00020558131680770817,4039.911639022645,4040.6917640207616,3284.3289423838696,3283.06123926193
pool19f6742plmyxw4w4tzhew003q67cf2w7c66v28mtk6f7fxf80ak7,,516.461389,True,True,0.0,0.0,0.0,0.0,0.1533863467686615,0.15338634795114423,0.12462640963183906,0.12462640771030463
pool19f6guwy97mmnxg9dz65rxyj8hq07qxud886hamyu4fgfz7dj9gl,BERRY,32183455.492377,True,True,0.00028218480622962586,0.00028223576391642766,0.00022744819742241248,0.00022736539118135967,9559.981880117963,9561.646849097839,7771.542069609735,7768.836495017437
pool19gspsgyjq9hdkm9crrr7n00fn5p62udpcujw5mjv86u0xua9yxr,,0.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool19gz6ffzagyh9daymscvyc64maq2xf4s05w5upthferlnwd7vgr8,SAK01,10137.954961,True,True,0.0,0.0,0.0,0.0,3.010949147582645,3.010978424825033,2.4464675381670435,2.4464199626481626
pool19gzu2dyp0g9e0nsvtg34fdhrtgr8c5jq37nscalqkh3hsjmas69,,1495.728437,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool19hrn8me383w9atvmjwukjxqsdvr8udpmyxau956hdc53x669j8p,WAV11,58971605.546304,True,False,0.0,0.0,0.0,0.0,17514.327813478485,11512.782821944487,9354.20843531176,14230.446413566211
pool19ht066hngsjfnv3mfsc8u9fgzl4w5qcrmh8l6zppwph6s2t7jn4,4GOOD,3366748.450739,True,True,0.00024237721651317403,0.00024321253228878125,0.00018966572406944508,0.00018830833593408335,1002.6766512144488,1005.5463431464932,821.5885537439744,816.9253043544023
pool19k9grwq9cdswn4k7vxzmwcls24jj3466g4s4xr5vucehcqpslfy,ADV4,41479930.267317,True,False,0.00028908456798147766,0.000269888793475874,0.00021818406716105152,0.00023357710952191086,12331.207721229153,11534.968333309573,9390.259891280026,10028.762215010327
pool19kfm6lz5uw7nylq27swr367mqdycmug7tve94l6h3xsz64seqtc,KILN8,39351082.251739,True,False,0.0002739370061730026,0.0002697274609572568,0.00021761470669650392,0.00022103487612401993,11687.071222851539,11512.702633349192,9354.078128844405,9495.749043009737
pool19klg32x4wrwh8yfdra6u52qa37meves4r68pxajxwllvzazd37c,TEACH,3045.807206,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool19l206haluae6wyzm7tjpt3gln9paa5m9s4fedec2u09fqz300ht,ETO10,50008175.819413,True,False,0.0,0.0,0.0,0.0,14852.168045365483,11512.69372350527,9354.063650348033,12067.386536859456
pool19l2vz7pdk09k49lezr9zcmc4j98zc30htuw2rnqk3cceckuce96,,1257.550057,True,True,0.0,0.0,0.0,0.0,0.37348612039371476,0.3734864164373238,0.3034581943958979,0.3034577133250333
pool19lz8nyz0jjpdrdtnjaar4untk4th23gpg5s7aegn7480zff4vgq,MS5,28279057.385084,True,True,0.0002779592711859395,0.0002780713597669948,0.0002239169284326175,0.00022373478448840266,8401.975569829036,8405.22660512737,6834.522737064346,6829.239804704554
pool19m3xzv58uymw76tg4th6q5fwkg9zktc8alvyysr37u04yw86axc,ADAIT,14341.115118,True,True,0.0,0.0,0.0,0.0,4.259264945566007,4.259293314005475,3.4607219149617707,3.460675816247633
pool19m547w9wkcqm5hcstz67fly4ucz0zsp3dqv4n956xyusy4dlpue,WRM01,4908136.538828,True,True,0.00022544496397063177,0.0002254450777438434,0.00017031556069452435,0.00017031537581305538,1457.6915809687068,1457.6921450237141,1184.3757844199727,1184.3748678305856
pool19m98gdj84d4kxem5h6ch8fvj92pvauhg0y4ktmzr3mln6c45yly,HOSKY,2535408.312077,True,True,0.00022378663895954168,0.00022381434854554756,0.00016966041725722102,0.00016961538917996153,753.0752281880552,753.1474254079541,612.0495654551539,611.9322449728185
pool19mc6suzenqdvmq3ssf3nfzv4xva3wgl83z6syumccdppyar0vga,BNP,9105.83169,True,True,0.0,0.0,0.0,0.0,2.7043846587704774,2.704384679695515,2.1973125862557907,2.197312552252605
pool19n2rjlddd0afs02cgd86mehptwaajv5kndtfcuqzdmgzq06lq0n,NAO,3374.64346,True,True,0.0,0.0,0.0,0.0,1.0022519270052939,1.0022523033430095,0.8143306080141703,0.8143299964653825
pool19n5ml38q5uedy8kgwwwtlsa3p9tmfcef0lfjp42k7j9d5mpgs2m,SLR,211968.917589,True,True,0.0,0.0,0.0,0.0,62.953666706869924,62.95366768126714,51.14985657442496,51.14985499102948
pool19nfs9chtv37vfawvpyf0x2shfhns9hpwy3qfckvpm4dmq0nrl8m,,2620.34261,True,True,0.0,0.0,0.0,0.0,0.7782299847579668,0.7782318470424295,0.6323164018711063,0.6323133756588544
