pool_id,ticker,sigma_ada,unsaturated_k500,apr_base,f_gt_c_base,apr_A,f_gt_c_A,apr_B,f_gt_c_B,apr_C,f_gt_c_C,apr_D,f_gt_c_D
pool10v6uh7yan2dg8utwpgurj6th3u3s3q3m2lcg8z9mxtncvx72dhc,,1.0,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10vgnav004xgw03qkqfy6864zq53lzjkcf0syeu4g3uj8xaytlm8,Pier2,1475.994327,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10w8gmhnprfmhdlp6npjt8d3ts64ng4qxsu0mr33dhpxpzwn4rgt,,2.91521,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10wcmpvjmmv7ph7cz2263f52yckvnnwu5kdppwqgu74s2qhe7l7m,4TUN8,1216672.604799,True,0.0012818360030161472,True,0.0,False,0.007364023733447598,True,0.0170227591769738,True,0.01300699619203619,True
pool10wugf8sxugp74y0dafvc83jmcg2z9v7u5yfs79zy67rxc5lqhd6,,4678.355731,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10ww24pk8znf747x6d0wcueajegrjwzpv8x9a4aar4t05s7uzf76,S10E,2452.995576,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10x7rsal3ldumkycuc7f7rslx3vc5axhz5jzwngfcg7hd6t2p7sc,BNP,66639.295215,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10xk8jp4m2cztf69x9gvg3j33x5drkrz2hulsjes29wktcfcxdls,,14276240.864801,True,0.018721510488625723,True,0.014900301275273864,True,0.01574145407689181,True,0.020019289096836278,True,0.016198079883484415,True
pool10xmmn972gyza7nj8q4cyy0vrpn6kqzmdz2ut7ynnc8d0ycxlvw3,MATE,344298.643126,True,0.0,False,0.0,False,0.0,False,0.005697955590392439,True,0.001697509023803473,True
pool10ya6hxrssmyhl560gqyalhqxudkgfjdlc0e4krww6wweyaeajs8,NKR,29702642.180265,True,0.020639873741728102,True,0.016617483285777623,True,0.017031113154980404,True,0.02128464971430891,True,0.017262259258358427,True
pool10zyf32q3w3n9x940j6yqgkwuegzn77p94wcmpku6gvmrqw8a97d,XSP,25947752.278328,True,0.01995890656309909,True,0.016045208941850197,True,0.016505781783451644,True,0.020676858345595465,True,0.01676316072434657,True
pool120s8wucgh9dnshf3xkvffq30lcf4kta9uzf35s44eulezc8puwj,REEF,9.802291,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool122gfj3ynz5ch8cfkx0tt5dsfpnf36sujcvrvxzqjm28yym8vv8x,CTUTS,67.456466,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool122gklgk6gep3dm5grag0kavzzxcwk4kxxrqegfygghjpgch6pns,,26415.60343,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool122pmneflla304ptc7s5ws948u28zaek08k6hk3fmw8rgkzmgect,PBDOT,3262.347727,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool1233gq8vt6nzytuw60sr9gy2jmehc88fpglrjrzsd8kys5gqelgg,,4079.358398,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool123gn9my6u32zea8l3uk889rjj2qf2tfagcz67q4v4r9ccjjtge7,SNY,3543.776436,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool124hy9qgc0nhqsve268kj5r53pvz7ppg295q6r2d0sjxswchljf0,BNP,32121961.703908,True,0.019642782711853404,True,0.015821573498501548,True,0.016195414302830103,True,0.020219565667103173,True,0.016398356453751317,True
pool124lm97s6f4satl7xz0ulzgg6tv30tskry3zcntwrz68n60v5yne,SHARP,11058.880161,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12582dmkl7xanxlmfnwd4fepmx4tt5kkw327mmklcjdxngwaxvh2,FGMTF,1001983.096233,True,0.008365663553330483,True,0.004707058892973788,True,0.004707058892973788,True,0.014594810555375922,True,0.010936205895019228,True
pool12584mjtgz3fhgpx823qht56gycnfnezg6aqqthazv4qdxkd5c46,DOLCA,713579.760243,True,0.004207468691235031,True,0.00022604563452684133,True,0.00022604563452684133,True,0.013731701830478794,True,0.009750278773770604,True
pool1258yqnsegc3k7raqcdkxu4893aqexxljflmg9g96yfha2qytayv,1PCT2,560337.048234,True,0.0,False,0.0,False,0.0,False,0.011794403081683008,True,0.007772303522267139,True
pool125kh7e0y9lwya4sz5etmsk7hvga9jtfpuhw00vz9zvk6sh8xh5r,CHOCO,7757931.71301,True,0.02008180502135105,True,0.016017212466087994,True,0.016017212466087994,True,0.020975728847513385,True,0.01691113629225033,True
pool1263z8symvqmmsg876y2lzluv29am2v9fpzka9sf3nrhz7uwlzap,LION,297273.492819,True,0.0,False,0.0,False,0.0,False,0.003247003459232568,True,0.0,False
pool126f65lklaqw39jgx9wl8klqtx99evewxk0x5yc2jzzp5wfs8fde,XPPX,536845.683641,True,0.0,False,0.0,False,0.0,False,0.011489944588149371,True,0.007429694431032086,True
pool126kcx3ve6xedpdk8gm9gtgs5x2h77tuwe5hjjcrp2nshu2xv8l3,ADAAF,2939.165647,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool126mkma8nv5axltmz7mmg8qz9e70nmhnf58hwx5772fhwgkhk6ag,NAP,18131001.028506,True,0.019703969497366084,True,0.015761823061092552,True,0.016425752205494127,True,0.020738917869521475,True,0.016796771433247943,True
pool126ugnr0nxjxz72jrlzrqetqx0exn43t5w67u9vuq23xex4ym7dv,,109.61171,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool126ut5j5qz5wg09sjxrjugmjhqyslgam9cyj7a275y99l6n3gql0,BIOME,5516.81282,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool127cp6le6v4hs453tkwnjd6ua9fcmmh7y5zc44zx752yzklgcrcq,IPMCo,1442.48367,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool127gdv243hfcrapslaqq0nnh64u2gts72gtrt4888g6g2z0zsu64,TTS17,1165746.560976,True,0.00038791814614501277,True,0.0,False,0.006903955313708893,True,0.016816489021761163,True,0.012793442986099588,True
pool127jufnlxk4n6he84qjf8ppzmxs9sjnqlhulnuzsk0uc0whtl9sn,WILDR,31110.339119,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool127xwsah7jllutuhen8vl7sve5278h7hhxtnys3cl438dyhuwgjg,ARTZ,2380628.940652,True,0.011077713724513084,True,0.007123903440726951,True,0.012232553424906829,True,0.019041197523381716,True,0.015087387239595585,True
pool127xz8pls3lr6nct6w274ph2g4u83vqajgykf3l9ll772gvmju8z,,2162.16716,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool128r8qqgl9zgy3ff4759a2qslyauu5takaec3nxx4a6mvj3ys8da,BTCAO,1491555.53618,True,0.0,False,0.0,False,0.009295331123693438,True,0.01800995576420825,True,0.01394483952735712,True
pool128sj7hpet8874ycvxml85wlv9eyd8pehjhnj3clcvhrr5g5s9qj,BIZ,25021.3693,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12a4mx8ztxg7dwatm6lmfm36q7eyygkt3y3h29tklvcp6vyxp0nt,,14785.014207,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12ahcpgfgzkm29zajw8fgfqjma6ngsks7zdk4tr7q280pwfvtlek,BNP,32128043.520627,True,0.019642922225534407,True,0.01582171301218255,True,0.0161954830487019,True,0.02021959599616426,True,0.016398386782812403,True
pool12ame5t8hdltyl30npznvhn23kxnvthk82j9p7dr4uew3y92uqes,EoK,81651.547632,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12cmz6vtm43tztqck4xnayhpmeml4ljxutvuexhwgsvrpwllnscv,PUWSP,7598.555142,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12d3th585ga2w593eu5zqnkahsnlczjpqxemjc0qhku7awnhvn8a,H3ART,171544.280445,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12dcwy586prq83qggtfvaxwdpys9dw4sl2yahrdjyjxsqzcq84rk,,1863101.150722,True,0.015020517434767327,True,0.010955922741031087,True,0.010955922741031087,True,0.01874280594138572,True,0.014678211247649479,True
pool12e8xz54gjtcz6dzkhua9uq9dp23cqcmf6xc4929t4ep4ketccsm,SOCK,32836.442065,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12eht6dqxpzqj87xuextrpufz2gxmt4reuesuw26r2utzw0kw906,CAN1,6368382.236304,True,0.019391380696606415,True,0.015328349684880277,True,0.015672236078431774,True,0.020824240669737655,True,0.016761209658011512,True
pool12f2r9xf4wvht030xwjhpjvy5yptr275qr2qcydnx57jkxyfzz2w,FREE1,501185.996294,True,0.0,False,0.0,False,0.0,False,0.010766732563114717,True,0.0067079915847575436,True
pool12f68ksfmsthe4r9xx2up9x4zx43tstu3psmjvk57papsv8vu9re,,1093.094791,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12fzerww0hmk0fyvaujz5t2kg6hl4n8daz85rqy5jk8qk58r59y6,ZETE2,102085.687836,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12g6gfm5c4q7rzwwxdmh0xdxk07tyvujp6d9tke2m46k7q7cz7p0,NDE,114243.911768,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12h408zlkavwxw4wkw96mt8unjs8sn27k0yk4yhz4pzvsx0wvmq5,,579.88263,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12hhrd4azpps5jxppcqs2pgtylatg7xkhaqmnetgv2988k3t4drf,YAM,6208.049253,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12hszgt63rau649xhfuy4mjmdukzpy0atyskd7hujl7zdxjv7e8c,,7.304864,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12jqfrwhuv2jn0uymwmud2d63gp5drj08fjfart9dxgpu2tmj8a0,IOGP,2.925923,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12jzydsj2yjjn59zefvgz2q47rvfk950xckm5x4ejcdvucueg5c8,ZILLA,51.006764,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12kdg7dmdfh0t9hmy43pvl38ftu5dvppyn86wgkc4jq8557xkyz7,RENEW,184656.933092,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12ktz62g9d32nq0cdk9jyyqg6kquj7lnmx776at5h598supql0t2,CTEC2,7464030.535472,True,0.007515447926399434,True,0.005483151635461317,True,0.00797711249367783,True,0.010473970120950395,True,0.008441673830012276,True
pool12l453n0jtxqq88cgwgr67z06ldyhqqvwxgkn0sgungjfvhtp2el,EVERS,39421087.918967,True,0.020102384452805558,True,0.016199923151321797,True,0.01660880075594632,True,0.020680146285427168,True,0.016777684983943407,True
pool12lsfsh2s8yt8dvrt9m8kgrgr6ktntngvn2vad60xlqz7kxz9fxr,POP4,4122221.288075,True,0.014880554092683553,True,0.011021155640161191,True,0.013881142811181182,True,0.0193387693886853,True,0.015479370936162942,True
pool12m0v0myprg2nfvlymzaghvjrzhnlzkh2psn3sur2nhkj5wpkdmh,DAPP,363054.558046,True,0.0,False,0.0,False,0.0,False,0.0066003257915347845,True,0.002535261792727443,True
pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9,,28840311.622564,True,0.019779018282733044,True,0.015917157807911992,True,0.01632594326606828,True,0.020416242673388436,True,0.016554382198567384,True
pool12mca6l778v2e5wq5a4kc08h6grcv9j6f7yykt9wyjttckfxksvg,,1014.271248,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12mmcc4rc2fzfv7gyv8h06nvnsrm3m7erzdv8x6gzvjxlu2lf09n,1PCT3,13287132.57218,True,0.019618660943846778,True,0.015596783218646474,True,0.01652142967139006,True,0.0210600215907706,True,0.0170381438655703,True
pool12mvua605f7w2gs90d580ywzyyf96je0y5q6zwcz2l76tcdqa8y9,,507.423329,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12n6lycv28kjtkzecfz2a3uujyxy6ewuwjcmjq84my67psqmgagv,MANT,1419735.920231,True,0.0042063051696863045,True,0.00014606974255415315,True,0.00888713195219439,True,0.017832078614125495,True,0.013771843186993345,True
pool12ndf7w5f4fdn746s5zlay4aexvcsjncnnmjwfp8falascjqav3y,SAMON,528154.948533,True,0.0,False,0.0,False,0.0,False,0.01095914642850183,True,0.007021887268923353,True
pool12nhydvz643puda5jjc7hxyphk9685n8tlsgeenfvtttckd803e5,,581.187987,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12p0qtp89dfzr6spqq4xl6ha2s9m8lqydnvfafyd0h38fy0hfv3f,PANDA,45059.513161,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12pk63q22re4up2dg86tyjwthuauqu0ryq3jlxs9v29zk68cpugl,0AKN0,189140.724848,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12plmfgtqk4nj0wse5wnr49xth22fjacxm0gxg3wc88ewzztpwf5,AMPLE,3707.804452,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12pvaxxcv3sgad5jqgfnggn337y76kp02uauptkufjjjes7nxwfm,SVRN,812448.451732,True,0.006313156322168714,True,0.0023192345444929497,True,0.0023192345444929497,True,0.014712507672340313,True,0.01071858589466455,True
pool12pwp8hln0cjsxv0h2a0463qsakkhwetfhyqw7vzmpwd2jdj86n6,KAP,823870.099593,True,0.0,False,0.0,False,0.00254743518828197,True,0.014897425094700236,True,0.010880848433151152,True
pool12qj3qpa2ca3jq8nj6p5psjrx7xu7dvjm25xra5s0sxxps4qx7c8,,24.517029,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12ql6www8aa8usn98azlkz76d2htxtm9swalvyac27rlq6mdkxc7,IOGP,1.48148,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12qrgswlflndwp3met59zmuclqp4wryn4e9428gm7n8vwymnhvng,VALOR,15586.226058,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool12qtv7kyrx8g0d5890alk6dkc6n6nyfx80synspvqafjrqd3ergz,ASAHI,7432589.983611,True,0.018344612276548898,True,0.014281583151041126,True,0.015951256848549568,True,0.020947338922665,True,0.01688430979715723,True
pool12r08n33avu33ncstukwxyr440mgaazmuclay38v0yt34xytu2dq,FALCO,301142.139289,True,0.0,False,0.0,False,0.0,False,0.0034328134736657636,True,0.0,False
