pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,margin,fixed_cost_ada,pledge_met,unsaturated_k1000,included_in_panel,f_base_k500_c_declared,Pi_base_k500_c_declared,r_base_k500_c_declared,category_base,f_A_k1000_c_declared,Pi_A_k1000_c_declared,r_A_k1000_c_declared,category_A,f_B_k1000_c170,Pi_B_k1000_c170,r_B_k1000_c170,category_B,f_C_k500_c75,Pi_C_k500_c75,r_C_k500_c75,category_C,f_D_k1000_c75,Pi_D_k1000_c75,r_D_k1000_c75,category_D
pool1j045vdrzmj3hl36p50c6mhhpwtu2q7cmecnrqjuqq0khja02sr0,,148.583375,100.0,110.780331,0.005,340.0,True,True,True,0.04412849493718662,0.04412849493718662,5.95436963170434e-05,losing_lt_025,0.04412850052066465,0.04412850052066465,5.9543703850971785e-05,losing_lt_025,0.04412850052066465,0.04412850052066465,5.9543703850971785e-05,losing_lt_025,0.04412849493718662,0.04412849493718662,5.95436963170434e-05,losing_lt_025,0.04412850052066465,0.04412850052066465,5.9543703850971785e-05,losing_lt_025
pool1j099ctc7kcc9fa78dz5qwsy2g0n96lrgletwxvxmyzh4zd7ck0j,PRIDE,25079668.566039,10000.0,28802.707293,0.0199,340.0,True,True,True,7448.8192330673855,489.46714955299177,0.6604504266831972,losing_050_075,7449.1074560921315,489.4732096133945,0.6604586036762443,losing_050_075,7449.1074560921315,323.04756065411505,0.43589625875367843,losing_025_050,7448.8192330673855,230.0389320576444,0.3103973595980209,losing_025_050,7449.1074560921315,230.0449921180471,0.310405536591068,losing_025_050
pool1j0j39t2dfmkflfnvresds8vlfhwg75qwufa95u55nw376ky29r8,IOGP,0.0,64000000.0,0.0,1.0,500.0,False,True,False,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met
pool1j0ys5378p896epefs0q2ehx3h9rrd4gupd33adkza7g3q02f6np,NOUSE,2318.776412,0.0,2318.776412,0.0,170.0,True,True,True,0.6886645306762937,0.6886645306762937,0.000929232500162915,losing_lt_025,0.6886645306762937,0.6886645306762937,0.000929232500162915,losing_lt_025,0.6886645306762937,0.6886645306762937,0.000929232500162915,losing_lt_025,0.6886645306762937,0.6886645306762937,0.000929232500162915,losing_lt_025,0.6886645306762937,0.6886645306762937,0.000929232500162915,losing_lt_025
pool1j276s043qh2knv3ukmap6sra6sk7p5khuetzwx9h43wqydzsx8c,UBE,70339688.376803,0.0,0.0,0.05,340.0,True,False,False,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met
pool1j2g7nwksj60fszcz6pxsf2hyzny9ch673en08xjlx05jwxeh2uz,,0.0,21000.0,0.0,0.01,345.0,False,True,False,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met
pool1j2lzgkv7lpjd727tq5efty2aqemphw32vx02ldu3jnuxuyvwvyx,,0.0,1000.0,0.0,0.01,340.0,False,True,False,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met
pool1j3azwphh66wk6efre3ezjjw8mqljqmnxe5qr9tyfmjdq6eqe5fc,VTRA,177.935758,100.0,177.935758,0.0475,345.0,True,True,True,0.05284600335251347,0.05284600335251347,7.130645130024305e-05,losing_lt_025,0.0528460123093076,0.0528460123093076,7.130646338587231e-05,losing_lt_025,0.0528460123093076,0.0528460123093076,7.130646338587231e-05,losing_lt_025,0.05284600335251347,0.05284600335251347,7.130645130024305e-05,losing_lt_025,0.0528460123093076,0.0528460123093076,7.130646338587231e-05,losing_lt_025
pool1j3kzujz0m07detlksr26sx7smft8xn280695zgu60zjhge9566f,TCSP1,1795605.334228,2000.0,9370.411966,1.0,290.0,True,True,True,533.2895651171169,533.2895651171169,0.7195811223469343,losing_050_075,533.2936880144529,533.2936880144529,0.7195866854767728,losing_050_075,533.2936880144529,533.2936880144529,0.7195866854767728,losing_050_075,533.2895651171169,533.2895651171169,0.7195811223469343,losing_050_075,533.2936880144529,533.2936880144529,0.7195866854767728,losing_050_075
pool1j3t6mhgndeuzqkpcj6csyxfhsr2fkgwknk6e4tjeeqhnc52fjc9,7SEAS,29992.172519,100.0,197.625306,0.1,340.0,True,True,True,8.907522635930006,8.907522635930006,0.01201914598551275,losing_lt_025,8.907526071281325,8.907526071281325,0.012019150620919327,losing_lt_025,8.907526071281325,8.907526071281325,0.012019150620919327,losing_lt_025,8.907522635930006,8.907522635930006,0.01201914598551275,losing_lt_025,8.907526071281325,8.907526071281325,0.012019150620919327,losing_lt_025
pool1j3umdcuxcewcxz98wm3sx5xqwgxx0v7z376xyjfq4jgejpvv8fz,MASTR,2097701.729781,10000.0,10012.104023,0.02,340.0,True,True,True,623.0304961048396,346.98446646179616,0.46819493225729614,losing_025_050,623.054498206334,346.98505877207793,0.46819573147656685,losing_025_050,623.054498206334,181.18022259663462,0.24447106497297022,losing_lt_025,623.0304961048396,88.52398654125216,0.11944765800168955,losing_lt_025,623.054498206334,88.52457885153395,0.11944845722096033,losing_lt_025
pool1j4nkshfytq8tww99ttfwvrmv8n7yq2tvuw0xlphelzzw6vfghwq,TAPC,53991.661543,10350.0,14232.774199,0.0,170.0,True,True,True,16.035761769581136,16.035761769581136,0.021637459659104977,losing_lt_025,16.03628112988252,16.03628112988252,0.02163816044511884,losing_lt_025,16.03628112988252,16.03628112988252,0.02163816044511884,losing_lt_025,16.035761769581136,16.035761769581136,0.021637459659104977,losing_lt_025,16.03628112988252,16.03628112988252,0.02163816044511884,losing_lt_025
pool1j4vmgapf520ul8tvwz95xsmne4alpymxpmcnf0zu5v4vz2pej34,FGMTL,4.840598,2e-06,4.840598,0.1,170.0,True,True,True,0.001437632422259879,0.001437632422259879,1.9398338531242745e-06,losing_lt_025,0.0014376324222598901,0.0014376324222598901,1.9398338531242893e-06,losing_lt_025,0.0014376324222598901,0.0014376324222598901,1.9398338531242893e-06,losing_lt_025,0.001437632422259879,0.001437632422259879,1.9398338531242745e-06,losing_lt_025,0.0014376324222598901,0.0014376324222598901,1.9398338531242893e-06,losing_lt_025
pool1j55hm5wkgcegrpn25nnfl0rgjdje26fhw9uxmgxf8dez2uups3y,UNITE,22.931848,10000.0,0.0,0.04,340.0,False,True,False,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met
pool1j5kx7rp08axydqevxhmujs5vthfv5kjzq2h40edpychlxg5twqw,,481.788826,450.0,4.945136,0.01,340.0,False,True,False,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met
pool1j5tw5wwfvk2zllqycg0cunu8emtd5g9tgymp0uayc6nzujunrhq,,165.62832,100.0,1.0,0.0,340.0,False,True,False,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met
pool1j5ukjmhn96jslmcd6k3ymj3vnjf3wpjn9sarhk7m7vtkv7ll2w3,REDH,12939.9435,15000.0,629.160235,0.0,340.0,False,True,False,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met
pool1j6490a90qefvsqxdurf99z9ld50rtthaz9ms6c8xh78s52veuq2,CETH,3718387.677546,25000.0,26693.484452,0.01,340.0,True,True,True,1104.4479443915025,353.07740448473015,0.47641628791043045,losing_025_050,1104.5541627700202,353.07922156162834,0.47641873973832904,losing_025_050,1104.5541627700202,185.98741011614626,0.25095752489435025,losing_025_050,1104.4479443915025,92.61075723147871,0.12496204124187531,losing_lt_025,1104.5541627700202,92.61257430837686,0.12496449306977386,losing_lt_025
pool1j6dh3ynys827j38976q0q3s3c9hpzgx40kjcq4472h6m7d3t0hm,KIND,3012812.183173,100000.0,207838.082216,0.03,340.0,True,True,True,895.1247435219406,393.80002737672305,0.5313643547811855,losing_050_075,895.4608363410202,393.83259988061275,0.5314083056859842,losing_050_075,895.4608363410202,240.3081844420518,0.32425392203575204,losing_025_050,895.1247435219406,154.48255625190757,0.208447227326412,losing_lt_025,895.4608363410202,154.5151287557972,0.2084911782312106,losing_lt_025
pool1j6jnnxsngexalq60tqnvn2muge7vevd5ukc0unacr4432t4lr28,UPBIT,29572781.6636,200000.0,29343618.371785,1.0,340.0,True,True,True,8789.731128143632,8789.731128143632,11.860206919534136,strong,8796.535027849664,8796.535027849664,11.869387593800145,strong,8796.535027849664,8796.535027849664,11.869387593800145,strong,8789.731128143632,8789.731128143632,11.860206919534136,strong,8796.535027849664,8796.535027849664,11.869387593800145,strong
pool1j6xfryctrxm4aplw3vnrtgfsvqdr35exenxqse5kzxmfue7qqmr,,61473087.543909,0.0,68871.770683,0.03,340.0,True,False,False,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met
pool1j6zqawj6f58lp4p00t26eqe58gxx4pa3cudlzpkv23y92nlxjzd,GURU,5567193.664539,0.0,18089.638344,0.0,813.0,True,True,True,1653.4275544345953,815.7308247979394,1.100686270342047,edge,1653.4275544345953,815.7308247979394,1.100686270342047,edge,1653.4275544345953,174.82014271214837,0.23588924803738157,losing_lt_025,1653.4275544345953,80.12882887365669,0.10811985904991156,losing_lt_025,1653.4275544345953,80.12882887365669,0.10811985904991156,losing_lt_025
pool1j742gcsul7u8c05rsqmkgpkvj5qadj0pew69nctu6crqy9wjjn4,BONE,1534673.764941,62000.0,141744.891204,0.01,340.0,True,True,True,455.89514387912124,351.7561672680727,0.47463350905736945,losing_025_050,456.000338776145,351.76683802410065,0.4746479073788464,losing_025_050,456.000338776145,199.01129166278676,0.26853097825563427,losing_025_050,455.89514387912124,113.6372273519069,0.1533335901300093,losing_lt_025,456.000338776145,113.64789810793485,0.15334798845148628,losing_lt_025
pool1j7cypyjzhcfuy0gsuc2vtd48cpsc0utmqkq09fjlp5dgsjrs7pg,SHINE,4095.098478,5.0,7.423505,0.03,345.0,True,True,True,1.2162229662712014,1.2162229662712014,0.0016410804642340048,losing_lt_025,1.216222989773798,1.216222989773798,0.0016410804959466538,losing_lt_025,1.216222989773798,1.216222989773798,0.0016410804959466538,losing_lt_025,1.2162229662712014,1.2162229662712014,0.0016410804642340048,losing_lt_025,1.216222989773798,1.216222989773798,0.0016410804959466538,losing_lt_025
pool1j8355yxxpfuhqyda4lrj8c9cdghaang3wvwge8jq8nlxurvfqv7,LvLUp,734775.196031,20000.0,24343.898422,0.0,170.0,True,True,True,218.24084384225657,171.59827142863693,0.23154189548091939,losing_lt_025,218.25728592518317,171.59881617266038,0.23154263051783255,losing_lt_025,218.25728592518317,171.59881617266038,0.23154263051783255,losing_lt_025,218.24084384225657,79.74572436741637,0.10760292643279569,losing_lt_025,218.25728592518317,79.74626911143982,0.10760366146970889,losing_lt_025
pool1j8grqucdwwcr0cwzxrtw30vqcptg0jdlrmauq5w7ytvqx6nf5np,VINCI,3313394.445821,250000.0,330783.722144,0.01,170.0,True,True,True,984.94412829777,258.6935943986294,0.34906182152738596,losing_025_050,985.8334840404793,258.7903865034878,0.34919242556692504,losing_025_050,985.8334840404793,258.7903865034878,0.34919242556692504,losing_025_050,984.94412829777,174.03282033485343,0.23482689400504958,losing_lt_025,985.8334840404793,174.12961243971185,0.23495749804458868,losing_lt_025
pool1j8r3q09v0tx48f78u4kxldmakryd384uk6cg9rrlzjhtu93027r,LIA,4.581261,1000.0,0.0,0.0,340.0,False,True,False,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met
pool1j9qrcwg28mgsu38p5jkrwpthff5pmm5wdpprghg2xrvfyfcm5ls,OSCAR,336.747257,15000.0,1.715741,0.005,340.0,False,True,False,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met
pool1jakl9kqhx87ywc7fcxweaxvna9khxhzyh6v8j70u6zpaxa45ghh,THNDR,63880111.755437,100.0,545522.71544,1.0,170.0,True,False,False,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met
pool1jas6p8hw9e2nz049g3xfn2me9yzknka4w84vzrxg0c2ej63stlm,AME,1306.340739,1000.0,1306.340739,0.01,170.0,True,True,True,0.38797675518194835,0.38797675518194835,0.0005235068660625989,losing_lt_025,0.3879771073000928,0.3879771073000928,0.000523507341184533,losing_lt_025,0.3879771073000928,0.3879771073000928,0.000523507341184533,losing_lt_025,0.38797675518194835,0.38797675518194835,0.0005235068660625989,losing_lt_025,0.3879771073000928,0.3879771073000928,0.000523507341184533,losing_lt_025
