pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,margin,fixed_cost_ada,pledge_met,unsaturated_k1000,f_current_k500_c_declared,apr_current_k500_c_declared,f_gt_c_current,f_A_k1000_c_declared,apr_A_k1000_c_declared,f_gt_c_A,f_B_k1000_c170,apr_B_k1000_c170,f_gt_c_B,f_C_k500_c75,apr_C_k500_c75,f_gt_c_C,f_D_k1000_c75,apr_D_k1000_c75,f_gt_c_D
pool10q2fhzwe4f5k2llny65z5z2fuhrpk3x56fdc0782djdq58p9uee,KURIS,2278562.468341,100.0,34747.281659,0.0,340.0,True,True,673.0886975207437,0.010671410267157679,True,673.0889577249316,0.010671418603512717,True,673.0889577249316,0.01611783500526957,True,673.0886975207437,0.01916141230519042,True,673.0889577249316,0.019161420641545458,True
pool10q33p4hx4wqum6thmglw7z5l2vaay4w6m5cdq8fnurw7vjdppcf,SPKL,38230.184169,1000.0,8576.795501,0.01,340.0,True,True,11.29325711182061,0.0,False,11.293299630831092,0.0,False,11.293299630831092,0.0,False,11.29325711182061,0.0,False,11.293299630831092,0.0,False
pool10qmnswfc22zm0fscg80gkwqz65ujwjkqmctv8g9l9l58wqtelgg,WAAUS,2697137.476281,30000.0,40865.975291,0.008,170.0,True,True,796.8271066516272,0.016829810180041063,True,796.9185909242835,0.016832266460133177,True,796.9185909242835,0.016832266460133177,True,796.8271066516272,0.019380484760220775,True,796.9185909242835,0.019382941040312886,True
pool10qrz84cvz95zg8saf43ruhs5ulczuuqm2d3jn6d8xkkkzgzfje7,,112074.806511,44325.545672,88771.874447,0.015,340.0,True,True,33.11038389927859,0.0,False,33.113823109771346,0.0,False,33.113823109771346,0.0,False,33.11038389927859,0.0,False,33.113823109771346,0.0,False
pool10quq4wlghwrvmhdzc7geq22pyhzegccwj56ax2g8hx0cjfahufs,SPS2,24708911.64549,10000.0,26172.056006,0.05,340.0,True,True,7299.306357830187,0.019532543676548993,True,7299.588531491522,0.019533335647627863,True,7299.588531491522,0.02001047119164329,True,7299.306357830187,0.020276313789278924,True,7299.588531491522,0.020277105760357794,True
pool10rdglgh4pzvkf936p2m669qzarr9dusrhmmz9nultm3uvq4eh5k,KILN0,74073232.951482,100.0,4679.600928,0.05,340.0,True,False,21881.276718116307,0.02016771080290046,False,11461.547323552735,0.01041238887728271,False,11461.547323552735,0.010571548934569828,False,21881.276718116307,0.020415813245142144,False,11461.547323552735,0.010660491319524394,False
pool10retvgthe4vymhaq8vr2734zladmeeuwy07rq8r5f690ydmz3vc,MORAL,971.580862,59000.0,137.688251,0.0,340.0,False,True,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
pool10s8x49tu6wcne63rqv6gmnhwpcg4kg8r4s3ncv6q7uxx76jvlwg,,5097.623546,5000.0,5097.623546,0.0,340.0,True,True,1.5058409803150483,0.0,False,1.5058415433779222,0.0,False,1.5058415433779222,0.0,False,1.5058409803150483,0.0,False,1.5058415433779222,0.0,False
pool10scv5quxduhrcc26wpurhk743dngspe8dc3zpkkam0svyx6ejx3,CDNTH,8648242.326177,100.0,1040.369948,0.2,340.0,True,True,2554.6958857271206,0.014955436590274004,True,2554.696873359299,0.014955443259573618,True,2554.696873359299,0.01610342219281296,True,2554.6958857271206,0.016744933162676508,True,2554.696873359299,0.01674493983197612,True
pool10tqeu6d03p6rnalqlvdshmpsljxaq2c0ww6draq6xm8lgyl2a3p,CASP,8631852.650929,100000.0,100002.076047,0.03,170.0,True,True,2550.828998488355,0.019530743653833844,True,2551.8071573852276,0.01953876782133166,True,2551.8071573852276,0.01953876782133166,True,2550.828998488355,0.020310060710326466,True,2551.8071573852276,0.020318084877824282,True
pool10u90lv7ayyfdulnt004h2wg42yff22c8vjlnqjxv7pytypuaykv,,6192.921948,45000.0,7.442557,0.025,340.0,False,True,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
pool10usr6ag036ujwhmm85km8w0skjn3fp3dwnktt8sje4lfvwhu40u,WALDO,2136.948271,66000.0,2.081122,0.019,345.0,False,True,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
pool10v6uh7yan2dg8utwpgurj6th3u3s3q3m2lcg8z9mxtncvx72dhc,,1.0,100025.042945,1.0,0.03,340.0,False,True,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
pool10vgnav004xgw03qkqfy6864zq53lzjkcf0syeu4g3uj8xaytlm8,Pier2,1475.994327,100.0,247.63965,0.08,170.0,True,True,0.4360095836333039,0.0,False,0.4360097407741793,0.0,False,0.4360097407741793,0.0,False,0.4360095836333039,0.0,False,0.4360097407741793,0.0,False
pool10w8gmhnprfmhdlp6npjt8d3ts64ng4qxsu0mr33dhpxpzwn4rgt,,2.91521,10000.0,2.91521,0.02,340.0,False,True,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
pool10wcmpvjmmv7ph7cz2263f52yckvnnwu5kdppwqgu74s2qhe7l7m,4TUN8,1216672.604799,200000.0,204998.65838,0.01,340.0,True,True,359.6385930731429,0.0011665267351281474,True,359.8729522079328,0.0011804475997917083,True,359.8729522079328,0.01127839831516077,True,359.6385930731429,0.016907449909085798,True,359.8729522079328,0.016921370773749358,True
pool10wugf8sxugp74y0dafvc83jmcg2z9v7u5yfs79zy67rxc5lqhd6,,4678.355731,330000.0,700.014847,0.01,340.0,False,True,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
pool10ww24pk8znf747x6d0wcueajegrjwzpv8x9a4aar4t05s7uzf76,S10E,2452.995576,0.0,2452.995576,0.018,340.0,True,True,0.7246160603172085,0.0,False,0.7246160603172085,0.0,False,0.7246160603172085,0.0,False,0.7246160603172085,0.0,False,0.7246160603172085,0.0,False
pool10x7rsal3ldumkycuc7f7rslx3vc5axhz5jzwngfcg7hd6t2p7sc,BNP,66639.295215,2.0,29761.65151,0.06,345.0,True,True,19.68527966654498,0.0,False,19.685279818746196,0.0,False,19.685279818746196,0.0,False,19.68527966654498,0.0,False,19.685279818746196,0.0,False
