pool_id,ticker,sigma_ada,pledge_met,unsaturated_k1000,r_base,category_base,r_A,category_A,r_B,category_B,r_C,category_C
pool1kp0wl7kxn0zt5xtmld72s98rv6ejpufvl39qk26h99nqshmkmge,IOGP,0.0,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1kprt6l4quz03dhqx8jw22spdjvp5dkshdnn567vlexqkj35hd8a,BDRK,3231201.559999,True,True,0.24248533725673688,losing_lt_025,0.24248686676900996,losing_lt_025,0.23950407515324645,losing_lt_025,0.2395015896958027,losing_lt_025
pool1kqpy3de52m07versalrkqd57w2qh5cze3wupwrgx39m5gvtkjct,,2249.499805,True,True,0.000901471729311501,losing_lt_025,0.0009014730464476762,losing_lt_025,0.0007324489905681758,losing_lt_025,0.0007324468502218911,losing_lt_025
pool1kqrsr700m267q9tz4pw4rjeg69nkahk5wuy3kkw479y56fqfy9t,,0.0,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1kqxgjf0zl60g88fxl3l8tpwu52pq78es33kqyaahgr2a7xh9g9t,RUGWA,294.768139,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1krznhwu3h5pu2stuslr53z5rme50t6384macsmylcnljwc7yjky,LEAF,54453895.984252,True,False,0.5354846071499133,losing_050_075,0.4464788972313027,losing_025_050,0.4053720841478313,losing_025_050,0.47762732088332405,losing_025_050
pool1ks49mpnl7mhh4eqa7ff3krhqa8nnx7gx04cawe46qnjeufawr5z,MOGA,8516.465074,True,True,0.0034129166162569146,losing_lt_025,0.0034129228319634613,losing_lt_025,0.0027730099014242468,losing_lt_025,0.0027729998009011093,losing_lt_025
pool1ksfzungz56vxa9sy6hr54v5hf6qx8rmcu6734gqm3qlxucveed6,EUSKL,291396.849734,True,True,0.11677735343033797,losing_lt_025,0.11677957444994713,losing_lt_025,0.09488701316066481,losing_lt_025,0.09488340400379998,losing_lt_025
pool1ksh2u6kktx74ugv8jadrdqttwyjz9074ke82xt6j0qgfvdn43a5,MILKY,841404.600631,True,True,0.33718797489787095,losing_025_050,0.3371892781664143,losing_025_050,0.2739684062942464,losing_025_050,0.2739662884828635,losing_025_050
pool1ksh2zpeeqe0rpcug63up5l66g3kr5vf58jraeun82rur6m4g6xz,TRUST,206813.081641,True,True,0.08287887720033359,losing_lt_025,0.08287894127994094,losing_lt_025,0.06733924391904508,losing_lt_025,0.06733913978968314,losing_lt_025
pool1ksrg8a964464las0ymw88slrwxkychjz9lh09lqltu5m7nw3pq0,QUEEN,53894723.113098,True,False,0.5554234406041155,losing_050_075,0.5123323243929191,losing_050_075,0.4916370863321819,losing_025_050,0.5266465017550493,losing_050_075
pool1kterawv22xya864tqjy9pq2ftmuptlggywtqt3p7adexg7qyl6u,INDIE,207263.261787,True,True,0.08306227886772606,losing_lt_025,0.08306533907901939,losing_lt_025,0.06749556017138643,losing_lt_025,0.06749058732803474,losing_lt_025
pool1ktg9hvae8kluwnr29khma3mxd7ffjj9k5l0yjdqlmazjclv4j3d,,2.618354,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1ktqaf79utweyenk6e7289ta5p5993g32emn8355rxmp0kgh2r0m,UPBIT,29565516.907554,True,True,11.857293363361949,strong,11.866471767094911,strong,9.65638477806844,strong,9.641469872002377,strong
pool1kv53mzjwqjp4aw48rczj8vm6hejwfnfwa634czyx5tw5qq3tata,GRC1,871324.496134,True,True,0.23715376103786648,losing_lt_025,0.23715758418939026,losing_lt_025,0.2329186899527938,losing_lt_025,0.2329124773315677,losing_lt_025
pool1kvd03hq8kp0hnxq9lq598a5amrvauj9m386rwx7ydawvjdskwnh,CAKE,2434656.159576,True,True,0.2626073352169162,losing_025_050,0.262607419235577,losing_025_050,0.254463769855173,losing_025_050,0.2544636333248492,losing_025_050
pool1kveecu8hx4dk8pe9rmv4q4tjwr9xmq30nacu2pafeljhypcn4wt,,295.168564,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1kx0jm9ycs3t99tnwafw6w72jkdlzhj5ltxe2nrzkd9x2u5x343h,EMUR6,10880200.917663,True,True,0.2917924840210058,losing_025_050,0.2917926114669929,losing_025_050,0.27944166505745516,losing_025_050,0.2794414579577262,losing_025_050
